Iteration	Posterior	Likelihood	Prior	tree_length	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	shape[0]	shape[1]	shape[2]	shape[3]
670	-9552.66	-9570.8	18.1459	1.16327	0.0412511	0.0427081	0.024237	0.009333	0.806327	0.0101252	0.00891475	0.0309219	0.0649829	0.0395237	0.00823416	0.0259246	0.0241157	0.0170538	0.00961258	0.0967775	3.49409	5.76847	15.3008
680	-9560.83	-9578.4	17.5692	1.17912	0.0440919	0.045784	0.026577	0.009333	0.785523	0.0108413	0.00838028	0.0430972	0.0754195	0.0407037	0.00642729	0.0396066	0.00909723	0.0231556	0.0110794	0.10307	23.3444	4.36711	5.21062
690	-9559.06	-9576.08	17.0214	1.15296	0.040783	0.0366227	0.0215117	0.0134628	0.798545	0.0130591	0.00713528	0.0385254	0.0622771	0.0349323	0.0070109	0.0435351	0.00777903	0.0109274	0.0168584	0.0797492	8.46277	17.7171	22.951
700	-9565.83	-9582.6	16.7637	1.25715	0.0444223	0.0491755	0.0214602	0.0115014	0.8859	0.00901586	0.00852729	0.043043	0.0546667	0.0330239	0.00721014	0.0325295	0.0205573	0.016291	0.019828	0.0837986	7.1133	21.2222	5.1074
710	-9566.68	-9582.65	15.9731	1.24043	0.0533062	0.0344599	0.0281923	0.00852319	0.836892	0.00942767	0.00792094	0.0366513	0.0710995	0.0457122	0.00860419	0.0328402	0.0205573	0.0303534	0.0158904	0.112574	4.55426	32.3827	15.6347
720	-9562.18	-9579.8	17.623	1.08573	0.0541474	0.0380604	0.0262446	0.0113022	0.701605	0.00769342	0.0130581	0.0461188	0.0564728	0.0358743	0.00860419	0.035041	0.018426	0.0179145	0.0151676	0.110768	17.6782	15.7581	17.0788
730	-9560.7	-9579.39	18.6919	1.09942	0.0453141	0.0380604	0.0181946	0.0114485	0.730034	0.00867157	0.0072946	0.0359083	0.0681265	0.0460906	0.00659862	0.0434546	0.00464801	0.0216804	0.0138976	0.0894721	10.2204	2.07342	14.1254
740	-9559.53	-9576.87	17.3327	1.27051	0.0550986	0.0420735	0.0314982	0.00740921	0.863953	0.0164072	0.0117893	0.0267399	0.0720781	0.0469442	0.008679	0.0451213	0.0134255	0.0192857	0.0100098	0.123706	1.97361	6.95149	10.426
750	-9552.3	-9569.89	17.5914	1.08461	0.0422979	0.044855	0.0247649	0.00992525	0.714852	0.0137913	0.0121003	0.037069	0.0617227	0.0386487	0.00606747	0.0324359	0.015395	0.019044	0.0116371	0.0940733	7.7946	8.8988	34.6957
760	-9556.01	-9573.19	17.1813	1.14156	0.0433235	0.0393475	0.0214641	0.0115914	0.775334	0.00982028	0.00865632	0.0355687	0.0674502	0.0379487	0.0128743	0.0329625	0.0170405	0.0207734	0.00740048	0.116109	35.7663	4.81445	7.59744
770	-9559.28	-9575.57	16.2968	1.21423	0.0528432	0.0413071	0.0240941	0.0136458	0.822449	0.014612	0.0108327	0.0355687	0.0672761	0.0378216	0.00583322	0.0406461	0.0175971	0.0192429	0.0104577	0.1248	4.54159	41.905	4.87867
780	-9561.4	-9576.03	14.6327	1.12418	0.0511531	0.0342796	0.0285099	0.0062553	0.732771	0.011366	0.0134475	0.0347467	0.081204	0.0402064	0.010929	0.041825	0.0124084	0.0162603	0.00882035	0.11497	18.2065	21.2086	63.2109
790	-9560.25	-9577.15	16.8946	1.1332	0.0492656	0.0451469	0.020601	0.0117954	0.762802	0.00930506	0.00711845	0.0335751	0.0663019	0.039923	0.00473504	0.0392546	0.0113959	0.0217436	0.010236	0.0884498	17.8741	17.3945	20.3421
800	-9559.76	-9576.67	16.908	1.17802	0.0424007	0.0387272	0.0281365	0.0049346	0.797601	0.0087399	0.0137779	0.033063	0.061792	0.046163	0.012217	0.0422168	0.020805	0.0186071	0.00884214	0.104617	9.22084	13.8476	23.295
810	-9551.44	-9569.65	18.2153	1.12388	0.0505631	0.0402073	0.023486	0.0104828	0.743671	0.00986243	0.00892341	0.0375888	0.0646298	0.0477774	0.00582356	0.0501221	0.00601762	0.0170726	0.00765597	0.111081	3.74482	13.1516	14.1422
