Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
470	-9889.06	-9900.42	11.3536	0.277823	0.192438	0.23282	0.296919	0.111278	0.281662	0.0627938	0.0466913	0.431527	0.0660479	0.0544643	0.3159	0.88463	2.74501	0.606562	0.0580275	0.0238808	0.520003	0.0437421	0.0127597	0.0345755	0.00660677	0.0129379	0.0584581	0.0324684	0.00863014	0.018403	0.0378187	0.00756223	0.0118368	0.88771
480	-9881.45	-9892.26	10.8155	0.284496	0.194141	0.227724	0.29364	0.127649	0.277673	0.0541197	0.0521761	0.4057	0.0826824	0.0613502	0.333545	0.90022	2.70488	0.63953	0.0681294	0.02248	0.570597	0.0384615	0.0121191	0.0398663	0.00881861	0.01272	0.0429426	0.039452	0.0104609	0.0184592	0.0296939	0.0166689	0.0104826	0.941352
490	-9888.56	-9900.62	12.0514	0.296103	0.180715	0.226577	0.296605	0.126126	0.274359	0.0534738	0.0390621	0.425283	0.0816958	0.0940664	0.404297	0.954994	2.54664	0.792991	0.0566095	0.0226808	0.460079	0.0386081	0.00835435	0.0420375	0.00954632	0.00951311	0.0449258	0.0359514	0.00251902	0.019299	0.0376009	0.0174871	0.0117893	0.817001
500	-9888.94	-9900.28	11.3436	0.278866	0.18294	0.244216	0.293977	0.103682	0.262406	0.0615223	0.0493099	0.437773	0.0853062	0.0672281	0.347698	0.912133	2.67294	0.667329	0.0634271	0.0254571	0.53821	0.0403384	0.0103428	0.0347526	0.00851611	0.00674087	0.0446597	0.0283504	0.00982392	0.0146889	0.0295712	0.0166479	0.0168809	0.888408
510	-9887.22	-9899.09	11.8725	0.272204	0.191739	0.238381	0.297676	0.123237	0.253397	0.0596004	0.0609982	0.423806	0.0789611	0.0848037	0.386032	0.941955	2.58721	0.749622	0.0489451	0.0227112	0.479342	0.0419941	0.0103428	0.0436904	0.0119195	0.00654706	0.0414001	0.0366977	0.00982392	0.0204271	0.0266586	0.0254957	0.00910841	0.835104
520	-9887.27	-9899.54	12.2694	0.300874	0.19681	0.226709	0.275608	0.112072	0.245872	0.0578305	0.055867	0.441598	0.0867605	0.0850281	0.386489	0.94229	2.58619	0.750671	0.0582348	0.0168411	0.479598	0.0318684	0.0119865	0.0293566	0.00752402	0.0138726	0.0427796	0.0316587	0.00542353	0.0181185	0.0277583	0.0155351	0.00485611	0.795412
530	-9888.7	-9900.1	11.3994	0.308546	0.178663	0.229136	0.283654	0.118589	0.27571	0.0466904	0.0616075	0.415726	0.0816774	0.0786804	0.373277	0.932412	2.61563	0.72101	0.0590452	0.0236477	0.52663	0.0324281	0.0103123	0.0440699	0.00432465	0.0112246	0.0395134	0.0364089	0.00913421	0.0197286	0.0342554	0.0202343	0.0116044	0.882561
540	-9887.17	-9898.38	11.2186	0.298603	0.195026	0.228852	0.27752	0.091361	0.244249	0.0474056	0.0625511	0.465637	0.0887968	0.083382	0.383122	0.93981	2.59369	0.742978	0.060996	0.0203031	0.556273	0.041183	0.0085404	0.0352893	0.00874156	0.00769446	0.0416334	0.0350237	0.00709733	0.0211216	0.0225466	0.0246611	0.00942867	0.900533
550	-9885.19	-9896.75	11.5574	0.287567	0.187819	0.238326	0.286288	0.100437	0.268514	0.0521151	0.0687653	0.41255	0.0976184	0.0796669	0.375372	0.934005	2.61096	0.72562	0.060996	0.0212504	0.515868	0.0416388	0.00713798	0.0409275	0.0101734	0.010893	0.0391034	0.039487	0.00709733	0.0161102	0.0305101	0.0190814	0.00645879	0.866733
560	-9889.96	-9902.24	12.2783	0.284743	0.185974	0.235985	0.293298	0.104449	0.262354	0.0567498	0.0748808	0.422886	0.0786806	0.0868371	0.390143	0.944953	2.57807	0.759128	0.0501783	0.0249355	0.449287	0.0416388	0.0174758	0.0433512	0.0115015	0.0102677	0.0409903	0.0278232	0.00650524	0.017508	0.0303564	0.0168574	0.00579945	0.794476
