Iteration	Posterior	Likelihood	Prior	tree_length	shape[0]	shape[1]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]
560	-9642.94	-9654.4	11.453	1.19746	0.107853	8.23094	0.0581781	0.0394121	0.0424985	0.0117681	0.00885291	0.807832	0.0292736	0.0521523	0.0140875	0.016352	0.0505074	0.00409186	0.0102236	0.0385449	0.0136887
570	-9639.62	-9651.86	12.239	1.13687	0.0977569	4.63942	0.0696895	0.0460737	0.0431541	0.010411	0.0132975	0.751407	0.0240424	0.0415165	0.011034	0.0111177	0.0508702	0.00351527	0.00822705	0.0440329	0.00848232
580	-9636.37	-9648.69	12.3182	1.11694	0.0877346	7.05017	0.0658407	0.0316426	0.0371089	0.00816149	0.00940737	0.749157	0.0241821	0.0496082	0.0113415	0.0155438	0.0332423	0.0190199	0.010027	0.036224	0.0164369
590	-9637.96	-9650.31	12.3484	1.08807	0.127703	12.1824	0.0690143	0.0421682	0.0371089	0.00951981	0.0125587	0.715919	0.0195886	0.0537403	0.0112487	0.0131766	0.0350263	0.0201418	0.00645166	0.0333884	0.00901855
600	-9642.51	-9654.11	11.5942	1.10387	0.104791	24.1282	0.0568538	0.0421682	0.0403485	0.00723338	0.0130969	0.721401	0.0215996	0.0597616	0.0155374	0.0124064	0.0380129	0.0162676	0.0111946	0.0403321	0.00765351
610	-9632.59	-9644.23	11.6405	1.16946	0.0986073	10.0902	0.0671552	0.0388732	0.0368378	0.00738802	0.012543	0.790646	0.0217118	0.0537552	0.00961818	0.016428	0.0406073	0.0196329	0.00915488	0.0390969	0.00601645
620	-9642.17	-9654.71	12.5354	1.06733	0.110661	12.6059	0.0600568	0.0274379	0.0417993	0.00820652	0.0148014	0.700301	0.0239435	0.0410632	0.0100278	0.0237079	0.0153933	0.0328855	0.00915488	0.0488266	0.00972685
630	-9634.27	-9646.13	11.8603	1.1779	0.0814978	4.02351	0.0670236	0.0413002	0.0355923	0.00820652	0.0120901	0.816611	0.0224187	0.0405109	0.00857999	0.0178398	0.0234846	0.0281798	0.00896331	0.0382394	0.00886186
640	-9643.27	-9654.04	10.7713	1.18603	0.0987895	24.1597	0.0648517	0.0463832	0.0355923	0.0120274	0.0111634	0.82016	0.0244035	0.0479909	0.00659093	0.0266565	0.0179276	0.0269373	0.0063555	0.0301269	0.00886186
650	-9638.14	-9650.34	12.2065	1.1463	0.0929403	3.40885	0.0651203	0.0337936	0.0385542	0.00826696	0.0137321	0.78501	0.0193093	0.0442764	0.0117656	0.0107997	0.0441661	0.012353	0.0135726	0.0392843	0.00629172
