Iteration	Posterior	Likelihood	Prior	ucln_sigma	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	ucln_mean	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
420	-2766.72	-2742.57	-24.1451	0.740061	0.3556	0.0491779	0.0763158	0.0271379	48.7191	20.0683	38.4053	0.00549096	0.215957	0.117612	0.238893	0.256916	0.535599	0.444112	0.120319	0.350493	0.0854608	0.228913	0.301486	0.061361	0.0948237	0.0381067	0.0930914	0.06237	0.030506	0.153787	0.11188	0.184763	0.0856013	0.357765	0.0396638	0.0812464	0.386907	0.0488163	0.175364	0.305747	0.351581	0.167307
430	-2758.73	-2738.71	-20.0196	0.383184	0.577051	0.013949	0.0329803	0.0190314	53.4056	17.8649	35.6156	0.00529385	0.163461	0.157687	0.176911	0.263096	0.120211	0.122323	0.151236	0.190388	0.114003	0.176359	0.327011	0.270554	0.178234	0.25462	0.0522522	0.122023	0.0539918	0.21323	0.109984	0.169673	0.0995638	0.41612	0.0461334	0.0944986	0.307325	0.0363594	0.182344	0.316648	0.315699	0.185309
440	-2760.79	-2739	-21.7842	0.507187	0.561852	0.0654458	0.149369	0.0839232	60.1554	19.345	40.8477	0.0051988	0.142346	0.200884	0.0811767	0.181052	0.160331	0.229503	0.0430541	0.159348	0.0780413	0.12177	0.306925	0.103846	0.145123	0.0825606	0.257209	0.150711	0.0960068	0.127804	0.0494741	0.143046	0.0490393	0.368632	0.0404169	0.082789	0.381633	0.0774902	0.155734	0.33963	0.339167	0.165468
450	-2772.07	-2747.04	-25.0345	0.656923	0.339654	0.0466788	0.0706884	0.0240096	49.8592	18.5068	40.0075	0.00521149	0.227936	0.166619	0.364546	0.19013	0.0894791	0.328881	0.0854945	0.255579	0.182034	0.0911292	0.267765	0.10301	0.154231	0.381684	0.622169	0.0445955	0.111619	0.120949	0.380938	0.218936	0.100154	0.314106	0.0886002	0.0755154	0.359569	0.062055	0.158026	0.329914	0.344158	0.167903
460	-2757.03	-2741.01	-16.0222	0.398936	0.765144	0.0346874	0.147696	0.113009	46.4481	17.4938	40.6143	0.00528174	0.142528	0.194668	0.137494	0.279877	0.183887	0.21985	0.0713588	0.128377	0.0724201	0.121273	0.394898	0.208573	0.156023	0.120402	0.155576	0.23841	0.0648552	0.113207	0.0969037	0.164336	0.0717348	0.380277	0.0815296	0.069489	0.3232	0.0737696	0.163683	0.349043	0.296638	0.190636
470	-2765.31	-2743.96	-21.3543	0.552269	0.586002	0.105042	0.253726	0.148684	50.8702	18.6314	38.1986	0.00532937	0.144485	0.159606	0.222472	0.0887971	0.244831	0.202395	0.0699398	0.245815	0.0762722	0.140516	0.263259	0.246037	0.0331638	0.0939862	0.082787	0.0745044	0.0730029	0.117308	0.0768506	0.13953	0.0484264	0.41008	0.0638797	0.0544457	0.399449	0.0237188	0.180696	0.321311	0.335208	0.162785
480	-2756.07	-2737.5	-18.575	0.467996	0.451921	0.0481696	0.087888	0.0397184	44.5983	22.1634	36.9153	0.00578849	0.153414	0.106279	0.0685115	0.248681	0.165188	0.279953	0.170137	0.148629	0.0779546	0.104291	0.378762	0.366488	0.114154	0.137621	0.1145	0.0531017	0.108451	0.197717	0.0956425	0.163114	0.0500459	0.370207	0.0327093	0.0855532	0.351162	0.110323	0.184886	0.335246	0.309324	0.170544
490	-2757.62	-2736.14	-21.4806	0.509286	0.692086	0.0241436	0.0784102	0.0542667	55.1277	20.6333	40.167	0.00522066	0.136978	0.122657	0.0876515	0.277655	0.0627145	0.10567	0.0827705	0.121709	0.0958124	0.149479	0.274961	0.274166	0.0915516	0.0584082	0.150073	0.033582	0.104438	0.159895	0.509177	0.153465	0.0794902	0.360656	0.0361137	0.0720746	0.387711	0.0639545	0.186744	0.335357	0.312941	0.164957
500	-2747.54	-2736.91	-10.6316	0.668936	0.246474	0.0307588	0.0408198	0.010061	51.6598	19.3466	38.0341	0.00547309	0.0898669	0.0595711	0.0514661	0.0985089	0.0939336	0.155471	0.046503	0.1241	0.117382	0.127599	0.288285	0.0423103	0.0682317	0.0503016	0.021821	0.0400956	0.0558677	0.149579	0.102954	0.09411	0.0872827	0.372714	0.0280354	0.082564	0.356142	0.0732621	0.198571	0.316988	0.314256	0.170185
510	-2754.77	-2736.74	-18.0279	0.922154	0.411674	0.0311231	0.0529011	0.021778	51.132	22.2517	35.8002	0.00541222	0.120991	0.0726129	0.043827	0.0471174	0.0513625	0.0814702	0.020811	0.0895053	0.0818618	0.154655	0.201417	0.0171826	0.0776579	0.0291135	0.224526	0.0737335	0.0841875	0.284115	0.523943	0.11995	0.0716778	0.306078	0.0686314	0.0678027	0.425646	0.0601639	0.196082	0.310255	0.325342	0.168321
520	-2756.98	-2741.54	-15.4452	0.478269	0.363865	0.0616885	0.096974	0.0352855	46.814	21.7096	43.121	0.0050576	0.137954	0.084945	0.129056	0.218893	0.0634877	0.13332	0.0507562	0.107304	0.0635768	0.108625	0.435055	0.262358	0.149195	0.106955	0.0700729	0.112085	0.0708266	0.168485	0.16807	0.139059	0.0417885	0.324019	0.0880491	0.0608182	0.453929	0.0313963	0.189586	0.309075	0.324105	0.177235
530	-2748.26	-2738.49	-9.77674	0.493534	0.321114	0.0514608	0.0758019	0.024341	49.592	20.4789	42.3599	0.00542737	0.114042	0.113139	0.0673207	0.102709	0.0769076	0.124374	0.0576446	0.0919802	0.0522822	0.0990315	0.329848	0.12109	0.087016	0.0387252	0.21439	0.0409199	0.108625	0.0753457	0.144599	0.108108	0.0574894	0.385783	0.0981072	0.0677657	0.355872	0.0349828	0.17322	0.316197	0.339069	0.171514
540	-2750.57	-2737.11	-13.4547	0.812292	0.534104	0.0293373	0.0629696	0.0336324	52.8883	20.0773	46.3535	0.00526794	0.0875332	0.0840012	0.00782614	0.0316997	0.0490641	0.0846951	0.0259115	0.0756936	0.106387	0.117237	0.29928	0.0271511	0.0394054	0.231128	0.0300155	0.0838122	0.061029	0.121079	0.0734686	0.0860491	0.0540749	0.36287	0.102001	0.0934332	0.341023	0.0465978	0.176072	0.337683	0.312587	0.173658
