Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	concentration	n_cats	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	sf[1]	sf[2]	sf[3]	sf[4]
380	-2795.93	-2743.42	-52.5075	0.0833827	0.0833827	0.260156	0.0833827	0.260156	0.0833827	0.260156	0.0833827	0.0833827	0.260156	0.0833827	0.0833827	0.0833827	0.0833827	0.0833827	0.0833827	0.0833827	0.260156	0.0535039	0.593288	0.131552	0.0780485	52.1035	17.3524	41.3023	0.00557586	0.753479	2	0.132486	0.0690567	0.355791	0.0353199	0.12027	0.367896	0.0516664	0.185875	0.312985	0.327412	0.173729
390	-2788.6	-2744.34	-44.2603	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.511868	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.110355	0.046029	0.198961	0.0574616	0.0114326	45.0378	19.3393	43.085	0.00540074	0.753479	2	0.132661	0.0613386	0.366892	0.0313724	0.0560166	0.432442	0.0519382	0.166848	0.331218	0.326151	0.175783
400	-2799.65	-2750.93	-48.7156	0.146348	0.146348	0.146348	0.146348	0.160141	0.146348	0.146348	0.146348	0.146348	0.490996	0.146348	0.146348	0.146348	0.146348	0.146348	0.146348	0.160141	0.146348	0.0172081	0.814983	0.0930082	0.0758001	45.74	18.4185	35.8905	0.00526157	0.753479	3	0.167028	0.0615088	0.336889	0.117233	0.073919	0.362759	0.0476908	0.165544	0.32448	0.348311	0.161666
410	-2791.4	-2747.7	-43.6987	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.323099	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.116999	0.0519409	0.505715	0.105083	0.0531419	50.9198	15.1768	40.5651	0.0053266	0.753479	2	0.128449	0.0363206	0.367432	0.0748943	0.0730087	0.408486	0.0398587	0.170663	0.325874	0.315828	0.187635
420	-2796.86	-2746.05	-50.8048	0.104217	0.104217	0.104217	0.104217	0.104217	0.104217	0.104217	0.104217	0.104217	0.376239	0.104217	0.474331	0.104217	0.474331	0.104217	0.104217	0.104217	0.104217	0.0186622	0.734377	0.0702583	0.0515961	52.235	19.0341	40.7756	0.00550334	0.753479	3	0.160453	0.0424103	0.387919	0.0874513	0.0836613	0.332867	0.0656909	0.201438	0.310639	0.321674	0.166249
430	-2806.41	-2745.09	-61.3225	0.121938	0.0383269	0.146108	0.146108	0.396295	0.146108	0.146108	0.146108	0.146108	0.396295	0.146108	0.0383269	0.146108	0.146108	0.121938	0.146108	0.146108	0.146108	0.0388808	0.325699	0.0576609	0.0187801	47.7422	16.5898	40.8795	0.00500226	0.753479	4	0.159245	0.0784219	0.453416	0.0190931	0.0753339	0.322208	0.0515271	0.187701	0.309253	0.326544	0.176502
440	-2797.13	-2741.07	-56.0608	0.12138	0.12138	0.12138	0.119828	0.12138	0.12138	0.119828	0.12138	0.119828	0.409405	0.12138	0.119828	0.12138	0.12138	0.12138	0.12138	0.12138	0.12138	0.0625276	0.243908	0.0826985	0.0201708	44.0389	18.7231	38.6303	0.0050154	0.753479	3	0.137037	0.0588546	0.376492	0.0897813	0.0796624	0.340722	0.0544878	0.186669	0.317454	0.321125	0.174753
450	-2796.52	-2746.36	-50.1644	0.100958	0.100958	0.100958	0.100958	0.100958	0.100958	0.100958	0.100958	0.100958	0.242504	0.100958	0.100958	0.100958	0.100958	0.100958	0.100958	0.100958	0.477676	0.015305	0.285379	0.021417	0.00611196	49.0198	17.9422	40.0644	0.00570517	0.753479	3	0.129751	0.0636995	0.367886	0.0280924	0.0778414	0.409238	0.0532423	0.183117	0.322649	0.308142	0.186092
460	-2792.7	-2742.18	-50.5228	0.113671	0.113671	0.22859	0.113671	0.113671	0.113671	0.113671	0.113671	0.113671	0.240419	0.113671	0.113671	0.113671	0.113671	0.113671	0.113671	0.113671	0.22859	0.0355297	0.355259	0.0551069	0.0195772	51.1213	19.7154	36.9652	0.00580106	0.753479	3	0.133482	0.0703108	0.406068	0.050406	0.0859205	0.328526	0.0587682	0.167396	0.325504	0.335918	0.171182
470	-2785.28	-2740.13	-45.1467	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.329317	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0972755	0.0318748	0.748783	0.126881	0.0950067	47.0228	19.6427	44.8495	0.00561954	0.753479	2	0.110167	0.0706119	0.37541	0.0470416	0.0862885	0.331364	0.0892834	0.191295	0.322961	0.320828	0.164916
