Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	norm_gamma_rates[0]	norm_gamma_rates[1]	norm_gamma_rates[2]	norm_gamma_rates[3]	shape
300	-9882.91	-9894.78	11.8625	0.304499	0.181506	0.226475	0.28752	0.115136	0.266147	0.0438933	0.068209	0.432655	0.0739603	0.0371381	0.00984287	0.0239326	0.500286	0.00604214	0.0613263	0.0404921	0.0277339	0.0144787	0.00914889	0.039476	0.0154101	0.0281635	0.0064127	0.0165368	0.00604214	0.0613263	0.0404921	0.0277339	0.0144787	0.00914889	0.039476	0.0154101	0.0281635	0.0064127	0.0165368	0.0371381	0.00984287	0.0239326	0.500286	0.0711781	0.356798	0.919527	2.6525	0.685894
310	-9885.41	-9897.04	11.6286	0.279786	0.188233	0.234868	0.297114	0.111861	0.258577	0.0428719	0.0478634	0.436897	0.10193	0.0361682	0.0075598	0.0181387	0.517471	0.0094598	0.0689487	0.0407539	0.0356458	0.00881101	0.00962775	0.0366278	0.012875	0.0298323	0.00768195	0.0201162	0.0094598	0.0689487	0.0407539	0.0356458	0.00881101	0.00962775	0.0366278	0.012875	0.0298323	0.00768195	0.0201162	0.0361682	0.0075598	0.0181387	0.517471	0.0751444	0.365634	0.926516	2.63271	0.704475
320	-9883.16	-9895.19	12.0306	0.288112	0.197165	0.227146	0.287578	0.106441	0.25026	0.0584882	0.0605747	0.445369	0.0788673	0.0302004	0.00801536	0.022335	0.475965	0.00995243	0.0624693	0.0455343	0.0360069	0.0120082	0.0118262	0.0322752	0.0162162	0.0304209	0.00586252	0.0206044	0.00995243	0.0624693	0.0455343	0.0360069	0.0120082	0.0118262	0.0322752	0.0162162	0.0304209	0.00586252	0.0206044	0.0302004	0.00801536	0.022335	0.475965	0.0679723	0.349437	0.913561	2.66903	0.670833
330	-9883.57	-9895.83	12.2577	0.288705	0.19757	0.227613	0.286112	0.103949	0.276598	0.0640585	0.0571422	0.423493	0.0747593	0.037597	0.00849211	0.0206416	0.448822	0.00927806	0.0604452	0.041391	0.035036	0.0103363	0.0113522	0.0370866	0.018896	0.0250148	0.0108046	0.0214553	0.00927806	0.0604452	0.041391	0.035036	0.0103363	0.0113522	0.0370866	0.018896	0.0250148	0.0108046	0.0214553	0.037597	0.00849211	0.0206416	0.448822	0.0819465	0.380153	0.937602	2.6003	0.736271
340	-9885.85	-9896.79	10.9433	0.274304	0.19248	0.232831	0.300386	0.11752	0.273512	0.0451836	0.0721265	0.419962	0.0716964	0.0398465	0.00871453	0.0201575	0.565922	0.0117351	0.0607821	0.0438901	0.035036	0.010832	0.0171831	0.0363186	0.0170996	0.0384586	0.00472742	0.017977	0.0117351	0.0607821	0.0438901	0.035036	0.010832	0.0171831	0.0363186	0.0170996	0.0384586	0.00472742	0.017977	0.0398465	0.00871453	0.0201575	0.565922	0.0569065	0.322302	0.890383	2.73041	0.618317
350	-9889.64	-9901.16	11.5125	0.271693	0.191066	0.247982	0.289259	0.123365	0.239623	0.0635012	0.0536141	0.444634	0.0752625	0.0387921	0.0109962	0.0172831	0.537511	0.00539144	0.0628745	0.0430511	0.0271765	0.00601399	0.00653169	0.0362304	0.0221872	0.0351761	0.00521253	0.0168137	0.00539144	0.0628745	0.0430511	0.0271765	0.00601399	0.00653169	0.0362304	0.0221872	0.0351761	0.00521253	0.0168137	0.0387921	0.0109962	0.0172831	0.537511	0.0788793	0.3737	0.932735	2.61469	0.721939
360	-9887.68	-9898.88	11.201	0.291961	0.180766	0.239802	0.287471	0.117984	0.247346	0.0655477	0.0379573	0.453476	0.0776881	0.0346926	0.0131594	0.0171914	0.563183	0.0108095	0.0649693	0.0412088	0.026616	0.0093358	0.0104308	0.0372789	0.0170596	0.0322574	0.0044268	0.0205649	0.0108095	0.0649693	0.0412088	0.026616	0.0093358	0.0104308	0.0372789	0.0170596	0.0322574	0.0044268	0.0205649	0.0346926	0.0131594	0.0171914	0.563183	0.0458828	0.291965	0.862079	2.80007	0.56452
370	-9889.68	-9902.04	12.3541	0.273561	0.180029	0.244583	0.301827	0.120919	0.253499	0.0671781	0.066957	0.411827	0.0796205	0.0332975	0.0152816	0.025754	0.452393	0.00869157	0.054405	0.0401424	0.0447479	0.00669683	0.00883879	0.0330601	0.0129704	0.0229413	0.00730439	0.0205649	0.00869157	0.054405	0.0401424	0.0447479	0.00669683	0.00883879	0.0330601	0.0129704	0.0229413	0.00730439	0.0205649	0.0332975	0.0152816	0.025754	0.452393	0.0787027	0.373324	0.932448	2.61552	0.721114
380	-9894.71	-9906.74	12.0263	0.279194	0.196908	0.234506	0.289393	0.128893	0.274423	0.0727232	0.0494672	0.388301	0.0861926	0.0379703	0.0155218	0.0201848	0.463294	0.0103118	0.0590579	0.0444404	0.036349	0.0156557	0.00550892	0.037316	0.0190755	0.0191514	0.00384945	0.0324282	0.0103118	0.0590579	0.0444404	0.036349	0.0156557	0.00550892	0.037316	0.0190755	0.0191514	0.00384945	0.0324282	0.0379703	0.0155218	0.0201848	0.463294	0.0682428	0.350066	0.914076	2.66762	0.672106
390	-9895.87	-9907.82	11.9581	0.283555	0.194201	0.231283	0.29096	0.132208	0.297466	0.0415683	0.0536209	0.401753	0.0733836	0.0297347	0.0115879	0.0213484	0.472921	0.0145436	0.0565045	0.0368966	0.0360852	0.0136635	0.0139512	0.0341971	0.0219205	0.0243451	0.0076194	0.0307856	0.0145436	0.0565045	0.0368966	0.0360852	0.0136635	0.0139512	0.0341971	0.0219205	0.0243451	0.0076194	0.0307856	0.0297347	0.0115879	0.0213484	0.472921	0.103581	0.421934	0.966912	2.50757	0.837839
400	-9882.82	-9893.97	11.1497	0.290085	0.193446	0.227779	0.28869	0.120911	0.272048	0.0556737	0.0490391	0.41671	0.0856171	0.0379186	0.0120716	0.019032	0.539639	0.00705611	0.0606877	0.0506536	0.0393254	0.0112194	0.00792133	0.0357808	0.0212657	0.030226	0.00675781	0.0279622	0.00705611	0.0606877	0.0506536	0.0393254	0.0112194	0.00792133	0.0357808	0.0212657	0.030226	0.00675781	0.0279622	0.0379186	0.0120716	0.019032	0.539639	0.0793968	0.3748	0.933571	2.61223	0.724358
410	-9887	-9898.73	11.7304	0.287325	0.191639	0.22102	0.300016	0.091682	0.278832	0.0621394	0.053442	0.443529	0.0703757	0.0360046	0.00736522	0.0259087	0.514054	0.00822065	0.0570774	0.0359807	0.0337185	0.00814352	0.0106621	0.0311988	0.0181162	0.03715	0.00780551	0.018217	0.00822065	0.0570774	0.0359807	0.0337185	0.00814352	0.0106621	0.0311988	0.0181162	0.03715	0.00780551	0.018217	0.0360046	0.00736522	0.0259087	0.514054	0.0717261	0.358036	0.920517	2.64972	0.688464
420	-9883.49	-9895.14	11.6488	0.286436	0.191553	0.222131	0.29988	0.129393	0.298962	0.0444351	0.0539228	0.395757	0.07753	0.0380578	0.0135818	0.0187427	0.519871	0.00831066	0.060591	0.0352768	0.0393511	0.00889715	0.0123898	0.0389068	0.0163866	0.0236182	0.00482685	0.0189539	0.00831066	0.060591	0.0352768	0.0393511	0.00889715	0.0123898	0.0389068	0.0163866	0.0236182	0.00482685	0.0189539	0.0380578	0.0135818	0.0187427	0.519871	0.0724851	0.359742	0.921876	2.6459	0.692023
430	-9884.78	-9896.54	11.7667	0.293945	0.182194	0.223173	0.300688	0.119989	0.252893	0.0534081	0.0653255	0.428055	0.0803294	0.0399557	0.0147251	0.018873	0.491551	0.00986441	0.0676261	0.0357879	0.036854	0.0147905	0.0121647	0.0369309	0.0173333	0.0238166	0.00567337	0.0200813	0.00986441	0.0676261	0.0357879	0.036854	0.0147905	0.0121647	0.0369309	0.0173333	0.0238166	0.00567337	0.0200813	0.0399557	0.0147251	0.018873	0.491551	0.0700454	0.35422	0.917453	2.65828	0.680578
440	-9887.33	-9898.53	11.1928	0.282281	0.177536	0.240525	0.299658	0.127706	0.238813	0.0476311	0.0667093	0.444444	0.0746955	0.0463093	0.00849217	0.0240658	0.544234	0.00958129	0.0702756	0.0454818	0.0289638	0.00608697	0.0134298	0.0377973	0.0184313	0.0291355	0.00542243	0.0158216	0.00958129	0.0702756	0.0454818	0.0289638	0.00608697	0.0134298	0.0377973	0.0184313	0.0291355	0.00542243	0.0158216	0.0463093	0.00849217	0.0240658	0.544234	0.0656702	0.344022	0.909087	2.68122	0.659985
