Iteration	Posterior	Likelihood	Prior	dp	r	csf[1]	csf[2]	csf[3]
1430	-66.4998	-68.4652	1.96539	0.119997	0.213296	0.305423	0.344155	0.350422
1440	-59.9067	-61.6644	1.75773	0.218202	0.135857	0.301137	0.613239	0.0856235
1450	-50.4728	-53.9287	3.45587	0.0600353	0.124209	0.00611875	0.56637	0.427511
1460	-48.2969	-52.652	4.35515	0.0265092	0.0678078	0.0156473	0.50779	0.476563
1470	-49.3894	-53.2139	3.82441	0.0718689	0.075522	0.442127	0.314377	0.243496
1480	-60.5665	-63.2326	2.66607	0.0821317	0.181093	0.283176	0.290703	0.426121
1490	-62.0454	-64.3439	2.29852	0.117345	0.182634	0.779733	0.168388	0.051879
1500	-63.3448	-65.7398	2.39502	0.0986843	0.191646	0.576257	0.172681	0.251062
1510	-50.7308	-54.5245	3.79367	0.0459448	0.10452	0.355128	0.166361	0.478511
1520	-57.0887	-60.3841	3.29543	0.0458817	0.154407	0.0652324	0.557066	0.377702
1530	-48.2188	-51.62	3.40119	0.0568705	0.132842	0.0499157	0.83338	0.116704
1540	-42.5999	-46.5806	3.98064	0.0239919	0.107776	0.0426626	0.935383	0.0219542
1550	-77.4496	-81.091	3.64146	0.0329525	0.132733	0.286697	0.0984114	0.614892
1560	-54.1461	-57.951	3.8049	0.00630544	0.143036	0.0315664	0.507591	0.460843
1570	-58.9018	-62.303	3.40124	0.0110987	0.178609	0.418902	0.467992	0.113106
1580	-46.0064	-49.9131	3.90672	0.0163449	0.122815	0.256751	0.402851	0.340398
1590	-59.3101	-63.0071	3.69703	0.0148609	0.145268	0.050358	0.37847	0.571172
1600	-48.4398	-52.5643	4.12456	0.0208077	0.0965681	0.471239	0.170285	0.358476
1610	-54.9918	-58.8504	3.85867	0.0351294	0.108835	0.265989	0.0572105	0.6768
1620	-60.187	-62.8763	2.68933	0.116963	0.143936	0.175201	0.15649	0.668309
1630	-51.656	-53.8851	2.22908	0.182554	0.124369	0.457552	0.0802759	0.462172
1640	-49.7715	-53.6782	3.90662	0.023447	0.115723	0.380726	0.0866445	0.53263
1650	-65.5315	-68.2133	2.68176	0.0216595	0.239996	0.135073	0.237336	0.62759
1660	-54.8763	-58.1651	3.28877	0.0722195	0.128735	0.380319	0.164726	0.454954
1670	-59.3103	-62.3244	3.01412	0.0495186	0.178901	0.0623333	0.269799	0.667867
1680	-51.34	-55.0742	3.73417	0.0412394	0.115176	0.266577	0.290432	0.442991
1690	-56.0789	-58.3963	2.31746	0.160343	0.137743	0.597457	0.1814	0.221144
1700	-81.2102	-82.3455	1.13527	0.16248	0.253825	0.350957	0.243897	0.405146
1710	-59.7881	-60.0065	0.218368	0.417746	0.0902494	0.829531	0.0886368	0.081832
1720	-93.7992	-93.7355	-0.0637322	0.344988	0.191217	0.486191	0.409413	0.104396
