Iteration	Posterior	Likelihood	Prior	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	concentration	n_cats	mean_rt	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
460	-2785.1	-2741.37	-43.7324	0.0576678	0.396327	0.0955281	0.0378604	48.1597	17.1077	41.827	0.00503808	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.376007	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.128023	0.484035	2	0.1418	0.192099	0.32263	0.315502	0.16977	0.0450685	0.385598	0.0312574	0.0667941	0.424926	0.0463558
470	-2790.74	-2741.76	-48.9806	0.0469723	0.451279	0.0856032	0.0386309	49.7886	19.8088	46.6896	0.00495106	0.112269	0.112269	0.112269	0.112269	0.112269	0.112269	0.112269	0.112269	0.112269	0.434541	0.112269	0.112269	0.112269	0.112269	0.112269	0.112269	0.112269	0.434541	0.849703	2	0.148077	0.170592	0.337745	0.31394	0.177724	0.0487781	0.392912	0.0481857	0.0812984	0.38015	0.0486756
480	-2803.26	-2743.03	-60.2311	0.0523993	0.213994	0.0666653	0.014266	60.962	18.0364	41.8139	0.00571828	0.104489	0.104489	0.104489	0.104489	0.104489	0.104489	0.122985	0.122985	0.104489	0.281286	0.104489	0.104489	0.104489	0.104489	0.104489	0.104489	0.122985	0.104489	0.93887	3	0.117394	0.174914	0.325962	0.338866	0.160258	0.0914056	0.366698	0.0904883	0.0760852	0.329768	0.0455543
490	-2787.1	-2741.37	-45.7308	0.0426507	0.382957	0.0691211	0.0264704	52.4753	19.4757	48.5495	0.00494015	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.329977	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.114957	0.403193	2	0.126902	0.182548	0.325569	0.334051	0.157832	0.060884	0.355712	0.0481183	0.0562351	0.429613	0.0494379
500	-2799.18	-2752.21	-46.969	0.0343883	0.551027	0.0765931	0.0422049	52.0443	17.7132	43.1907	0.00607323	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.402993	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.098237	0.317789	2	0.115168	0.174982	0.343821	0.326794	0.154404	0.064723	0.390886	0.0463353	0.0379483	0.404189	0.0559189
510	-2799.22	-2751.97	-47.2502	0.040138	0.434754	0.0710098	0.0308718	50.1407	16.7716	35.9571	0.00488506	0.127448	0.351021	0.127448	0.127448	0.127448	0.127448	0.127448	0.127448	0.127448	0.351021	0.127448	0.127448	0.127448	0.127448	0.127448	0.127448	0.127448	0.127448	0.214554	2	0.15229	0.166778	0.333579	0.339321	0.160322	0.0989093	0.42701	0.0149229	0.0358672	0.345791	0.0774997
520	-2795.34	-2748.48	-46.8564	0.0791404	0.106372	0.0885608	0.00942035	48.4547	18.5453	40.3137	0.0055927	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	0.278606	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	0.128216	1.04707	2	0.136571	0.180131	0.317463	0.341772	0.160634	0.0736056	0.379277	0.0321399	0.0429212	0.403219	0.0688365
530	-2802.46	-2757.54	-44.9234	0.0556281	0.442136	0.0997162	0.0440882	48.6272	20.187	47.7496	0.00527426	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.204888	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.124014	0.786531	2	0.128507	0.187492	0.322907	0.326848	0.162754	0.0729751	0.358532	0.0464022	0.0668667	0.420942	0.0342822
540	-2806.12	-2747.25	-58.8669	0.0397793	0.0957898	0.0439934	0.00421412	51.9436	19.7018	43.0105	0.00545164	0.129003	0.10525	0.252511	0.10525	0.10525	0.252511	0.10525	0.10525	0.10525	0.252511	0.129003	0.10525	0.10525	0.10525	0.10525	0.10525	0.10525	0.252511	0.90298	3	0.140614	0.168624	0.331241	0.334904	0.165231	0.0553735	0.372325	0.0810639	0.0898774	0.35528	0.0460797
550	-2789.88	-2742.13	-47.7497	0.0679593	0.17272	0.0821479	0.0141886	48.4377	18.2175	42.5787	0.00559019	0.107997	0.107997	0.107997	0.107997	0.359813	0.107997	0.107997	0.107997	0.107997	0.359813	0.107997	0.107997	0.107997	0.107997	0.107997	0.107997	0.107997	0.107997	0.727385	2	0.135976	0.19104	0.319544	0.332085	0.157331	0.0978445	0.321772	0.0366951	0.0776742	0.409504	0.0565098
