Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
500	-9891.68	-9902.69	11.0185	0.286822	0.180605	0.241526	0.291047	0.128643	0.277051	0.0500071	0.0572657	0.41899	0.0680432	0.065922	0.344619	0.909584	2.67987	0.661173	0.0112697	0.0377125	0.0474185	0.0232001	0.0652892	0.053106	0.544015	0.00803343	0.0101629	0.0313137	0.00475425	0.0315757	0.00595729	0.00831191	0.0388289	0.920949
510	-9888.22	-9899.06	10.8462	0.286458	0.178922	0.230545	0.304075	0.128501	0.271831	0.0427849	0.0461727	0.44516	0.0655505	0.0675357	0.348418	0.912725	2.67132	0.668778	0.0149509	0.0393769	0.0442792	0.0196316	0.0727046	0.051679	0.5627	0.0121286	0.00818209	0.0315067	0.00532879	0.0163511	0.00523105	0.0154576	0.0386299	0.938138
520	-9888.62	-9900.53	11.9109	0.283331	0.199013	0.228029	0.289627	0.112928	0.255615	0.044917	0.0735808	0.445186	0.067773	0.0678482	0.349148	0.913324	2.66968	0.670249	0.016901	0.0384286	0.0380688	0.0181402	0.0574683	0.0412579	0.471579	0.0111601	0.0102493	0.0425515	0.0107361	0.0159238	0.00731382	0.0234641	0.0284228	0.831665
530	-9883.06	-9894.75	11.6945	0.289734	0.181139	0.233182	0.295946	0.119589	0.251049	0.0541144	0.0695731	0.437235	0.0684393	0.0688596	0.351495	0.915242	2.6644	0.675006	0.0120619	0.0322583	0.037867	0.0205589	0.0580114	0.0455024	0.500769	0.00758583	0.0129286	0.0361608	0.0104826	0.0163619	0.00397762	0.0184502	0.0403029	0.85328
540	-9887.43	-9899.07	11.6366	0.284716	0.182469	0.234894	0.297921	0.106467	0.256655	0.0418344	0.0749958	0.444784	0.0752635	0.087065	0.3906	0.945284	2.57705	0.760194	0.0124736	0.0326838	0.0369197	0.02278	0.059039	0.0356989	0.520174	0.0152879	0.00768298	0.0347614	0.00623534	0.0166097	0.00360059	0.0215748	0.0331261	0.858648
550	-9888.79	-9900.91	12.1179	0.300643	0.192004	0.225693	0.28166	0.110046	0.279926	0.0491433	0.0488936	0.428636	0.0833548	0.0930324	0.402315	0.953613	2.55104	0.788139	0.00893921	0.0267036	0.035307	0.0197582	0.0636544	0.0405551	0.468391	0.00986758	0.00707352	0.0487817	0.0075744	0.0164958	0.00360059	0.0177108	0.0359629	0.810375
560	-9890.3	-9901.63	11.3236	0.287155	0.185387	0.22625	0.301208	0.108517	0.260539	0.0480127	0.0524801	0.443461	0.0869912	0.0805542	0.377242	0.935418	2.60679	0.729766	0.0137857	0.0231255	0.0401514	0.0212	0.0553314	0.0551711	0.536992	0.00909413	0.00979718	0.037573	0.011476	0.0170797	0.00773965	0.036418	0.0151623	0.890097
570	-9883.52	-9895.09	11.5691	0.290532	0.189311	0.234206	0.285951	0.109582	0.251239	0.0482433	0.0527321	0.450795	0.0874089	0.0686287	0.350961	0.914807	2.6656	0.67392	0.00637945	0.0332234	0.0371217	0.0262452	0.0587383	0.0365011	0.513864	0.0129334	0.00833881	0.0380435	0.0123062	0.0170797	0.0073117	0.0201771	0.0375653	0.865829
580	-9885.25	-9896.6	11.3451	0.284979	0.183815	0.239711	0.291495	0.122785	0.248231	0.0476656	0.0495596	0.445397	0.0863623	0.0592011	0.32817	0.895559	2.71707	0.629296	0.0143336	0.0381807	0.0342978	0.0241317	0.0608437	0.0430367	0.529414	0.0127237	0.0103337	0.0395415	0.00823358	0.0191559	0.0142536	0.014538	0.0254324	0.888451
590	-9885.11	-9896.16	11.0494	0.278036	0.193944	0.233871	0.294149	0.127044	0.269208	0.0550582	0.0549688	0.412021	0.0816999	0.062756	0.337001	0.903176	2.69707	0.646202	0.0154651	0.0407149	0.0437732	0.018812	0.0588706	0.0424652	0.566567	0.014468	0.00752631	0.0317051	0.0104329	0.0220258	0.0052857	0.014538	0.0252869	0.917936
