Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	base_rate	tmrca_UrsidaePinn	clock_rate	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
480	-2793.26	-2750.64	-42.6288	0.19191	0.330634	0.299932	0.177524	0.0417999	0.230158	0.0542968	0.0124968	59.2871	17.5089	0.00516902	38.1114	0.179573	0.0781036	0.366039	0.0466994	0.085475	0.349326	0.0743573
490	-2793.55	-2753.11	-40.4437	0.187256	0.31455	0.327427	0.170768	0.0465815	0.220589	0.059765	0.0131835	56.8394	15.673	0.00532363	34.8252	0.186466	0.0618543	0.286774	0.0369837	0.0767269	0.478774	0.0588874
500	-2796.45	-2753.37	-43.0812	0.178482	0.32216	0.349559	0.149799	0.0392926	0.475571	0.0749246	0.035632	61.0902	18.3666	0.00519881	35.5611	0.15749	0.0847321	0.355334	0.0385676	0.0646088	0.433872	0.0228858
510	-2798.99	-2747.86	-51.129	0.17671	0.348437	0.312835	0.162018	0.0381593	0.621186	0.100734	0.0625743	70.1777	19.9714	0.00487017	36.4432	0.171028	0.0655421	0.322293	0.101448	0.0681248	0.386263	0.0563297
520	-2796.48	-2759.47	-37.0117	0.166994	0.328453	0.313974	0.190579	0.0458258	0.376214	0.073464	0.0276382	48.2904	18.7979	0.00573943	34.8542	0.177177	0.0515813	0.461072	0.0649847	0.07092	0.303248	0.0481937
530	-2796.76	-2752.64	-44.1192	0.179802	0.331044	0.320718	0.168436	0.0512297	0.764462	0.217501	0.166271	57.9931	18.226	0.00532169	37.9978	0.161441	0.0642518	0.325966	0.0809477	0.0601767	0.377739	0.0909188
540	-2793.39	-2753.16	-40.233	0.177456	0.322529	0.329425	0.17059	0.0585564	0.463082	0.10906	0.0505039	55.1847	18.0963	0.00522672	35.7511	0.165438	0.0642751	0.39154	0.0151595	0.0601985	0.377875	0.0909517
550	-2791.79	-2751.66	-40.1239	0.162227	0.331351	0.331166	0.175256	0.0465602	0.478399	0.089264	0.0427038	56.852	16.4251	0.00545349	34.7963	0.155645	0.0526557	0.420223	0.0635705	0.0761999	0.329229	0.0581216
560	-2794.63	-2751.57	-43.06	0.16427	0.322928	0.335338	0.177464	0.0356096	0.191433	0.0440404	0.00843076	58.1129	18.3114	0.00496136	35.9787	0.174182	0.0516899	0.412515	0.0624045	0.0748022	0.341533	0.0570556
570	-2793.13	-2751.48	-41.6495	0.171913	0.323192	0.325605	0.17929	0.0424329	0.348153	0.0650965	0.0226636	58.7685	16.8226	0.00529714	38.2436	0.171882	0.0767582	0.34207	0.088376	0.080311	0.323072	0.0894123
580	-2794	-2754.05	-39.9415	0.188723	0.323959	0.304537	0.182781	0.0271127	0.323714	0.0400907	0.0129779	54.0898	16.4156	0.00507721	34.9689	0.206982	0.0837772	0.344506	0.0661592	0.0824419	0.333067	0.0900489
590	-2799.08	-2757.67	-41.4162	0.185135	0.333236	0.311283	0.170347	0.0300926	0.275168	0.0415167	0.0114241	56.9529	20.0969	0.00529412	37.0062	0.169556	0.0740184	0.42252	0.0215575	0.0795711	0.322774	0.0795595
600	-2792.62	-2754.03	-38.5903	0.184433	0.339125	0.30793	0.168512	0.0681594	0.249721	0.0908454	0.022686	52.6334	15.5934	0.00536756	34.4951	0.18966	0.0519251	0.373508	0.0418651	0.108768	0.365936	0.0579975
610	-2795.74	-2754.22	-41.5239	0.18594	0.3138	0.321256	0.179004	0.0509247	0.317902	0.0746589	0.0237342	57.7337	15.3999	0.00523347	34.2832	0.153588	0.0759859	0.343419	0.0591589	0.0988977	0.369213	0.0533254
620	-2797.93	-2757.71	-40.2218	0.171365	0.327033	0.344781	0.156821	0.0279759	0.561793	0.0638416	0.0358658	55.6121	16.6409	0.00557229	34.5401	0.174399	0.0710663	0.372403	0.0452476	0.0756418	0.397464	0.0381773
630	-2796.35	-2757.23	-39.1269	0.173833	0.32162	0.328929	0.175618	0.0338514	0.300866	0.048419	0.0145676	53.3203	16.6149	0.00512054	34.7708	0.198507	0.0764229	0.35371	0.0654366	0.101057	0.363883	0.0394905
640	-2793.23	-2753.84	-39.3907	0.171604	0.346402	0.32471	0.157284	0.0314287	0.45106	0.0572533	0.0258247	54.8729	18.7846	0.00523982	34.6344	0.180322	0.094285	0.348417	0.0633162	0.0789056	0.369719	0.0453566
650	-2792.85	-2749.47	-43.3799	0.16883	0.33965	0.336176	0.155344	0.0255117	0.517171	0.052838	0.0273263	60.5608	17.8644	0.00570641	34.9175	0.152922	0.0784135	0.405433	0.0526579	0.07367	0.307483	0.082343
660	-2797.34	-2750.88	-46.4616	0.200914	0.33895	0.310368	0.149767	0.0456819	0.514767	0.0941443	0.0484624	64.2211	18.6898	0.00578456	34.1329	0.135275	0.0735321	0.358064	0.0507668	0.0710243	0.357334	0.0892788
670	-2805.13	-2753.97	-51.1547	0.190742	0.333724	0.30367	0.171864	0.0640953	0.202006	0.0803205	0.0162252	68.1362	18.1593	0.00500519	36.7279	0.138842	0.0694066	0.335505	0.0566941	0.128488	0.375448	0.0344585
680	-2790.85	-2748.06	-42.7927	0.182147	0.334286	0.314568	0.168999	0.0386059	0.505966	0.0781441	0.0395382	61.0456	16.0273	0.0054645	34.9891	0.151351	0.0700237	0.402413	0.0643259	0.0525919	0.362496	0.0481489
690	-2792.72	-2750.27	-42.4512	0.161295	0.332778	0.331753	0.174173	0.034618	0.491913	0.068134	0.033516	60.0551	18.4168	0.00530273	35.3607	0.165941	0.0804845	0.327144	0.0558216	0.0604486	0.420759	0.0553418
700	-2792.62	-2753.63	-38.9817	0.16157	0.356972	0.306988	0.17447	0.0413969	0.709245	0.142377	0.100981	53.6718	17.1995	0.00521064	34.8856	0.17906	0.0671864	0.43765	0.0484125	0.0524254	0.346329	0.0479964
710	-2799.65	-2754.47	-45.1804	0.187806	0.329985	0.300396	0.181813	0.0302623	0.354291	0.0468668	0.0166045	62.1196	20.7671	0.00500644	41.6303	0.147094	0.0855386	0.373764	0.046188	0.0692116	0.359	0.0662978
720	-2791.03	-2746.29	-44.7426	0.180676	0.324201	0.330345	0.164779	0.0301357	0.300186	0.0430624	0.0129267	62.9352	18.5184	0.00531845	35.944	0.159133	0.059409	0.419298	0.0203781	0.0701082	0.36365	0.0671566
730	-2791.36	-2748.13	-43.2293	0.175817	0.346363	0.314002	0.163817	0.0301233	0.527439	0.0637447	0.0336214	60.2723	17.867	0.00579434	35.5891	0.169389	0.0559697	0.40301	0.0896369	0.0660495	0.319612	0.0657218
740	-2795.04	-2755.05	-39.9936	0.16223	0.338767	0.330102	0.168901	0.0531057	0.627337	0.142504	0.0893978	54.7827	19.1941	0.00549111	35.6026	0.163969	0.0675285	0.423194	0.0807716	0.059517	0.309767	0.0592217
750	-2794.48	-2744.59	-49.8846	0.17615	0.326661	0.319063	0.178126	0.0199743	0.49176	0.0393009	0.0193266	68.756	16.9455	0.00580152	39.2332	0.136861	0.0782782	0.394631	0.0634495	0.057911	0.337081	0.0686491
760	-2792.37	-2752.75	-39.619	0.185843	0.338978	0.307927	0.167252	0.0434502	0.426869	0.0758119	0.0323617	55.5567	16.5554	0.00553272	35.1464	0.180066	0.0477458	0.423259	0.0365753	0.0597136	0.390833	0.0418725
770	-2796.78	-2752.83	-43.9506	0.169998	0.342913	0.317896	0.169193	0.0213402	0.510617	0.0436063	0.0222661	60.2238	17.7126	0.00570752	40.3128	0.146369	0.0490247	0.378154	0.0492599	0.0586663	0.37838	0.0865153
780	-2796.96	-2755.99	-40.9634	0.189293	0.350084	0.295722	0.1649	0.0462294	0.560483	0.105182	0.058953	56.2334	16.4733	0.00571605	35.2982	0.17494	0.0982557	0.361677	0.0228484	0.0626613	0.381587	0.072971
790	-2796.05	-2750.16	-45.8948	0.179493	0.348203	0.298999	0.173305	0.0209793	0.470831	0.0396457	0.0186664	63.6347	18.7856	0.00565434	34.0286	0.143989	0.0527425	0.423898	0.0551999	0.0943798	0.320945	0.0528348
800	-2796.79	-2747.81	-48.9812	0.175629	0.340943	0.320195	0.163233	0.0261931	0.647148	0.0742326	0.0480395	67.7153	18.3104	0.00496331	33.9725	0.143963	0.0743219	0.382152	0.0776932	0.0769207	0.3386	0.050312
810	-2791.85	-2748.49	-43.3639	0.193691	0.310243	0.324948	0.171118	0.052396	0.402529	0.0876963	0.0353003	60.9001	17.4222	0.00546029	35.411	0.156282	0.0733219	0.393927	0.074192	0.0734543	0.33706	0.0480448
820	-2797.44	-2755.41	-42.0277	0.181708	0.30664	0.337972	0.17368	0.0689725	0.617577	0.180357	0.111384	54.3005	18.2357	0.00514427	36.5814	0.176718	0.0578547	0.398673	0.0787053	0.0779228	0.335877	0.0509675
830	-2798.68	-2753.2	-45.4719	0.182128	0.345091	0.302164	0.170617	0.0505045	0.54168	0.110195	0.0596905	62.1878	17.7594	0.00526689	35.5815	0.144282	0.0429108	0.423595	0.0775275	0.0625272	0.356873	0.0365662
