Iteration	Posterior	Likelihood	Prior	ucln_sigma	tmrca_UrsidaePinn	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	ucln_mean	base_rate	root_time	diversification	turnover	death_rate	birth_rate	mean_rt	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	tmrca_Ursidae
320	-2758.34	-2752.63	-5.70731	0.315455	40.0675	0.0929166	0.114846	0.110721	0.248086	0.116771	0.128169	0.0922752	0.0953263	0.080689	0.214606	0.110015	0.112954	0.12556	0.192714	0.0977011	0.101238	0.0802159	0.0927188	0.201372	0.329081	0.301293	0.168253	0.119354	0.00597744	50.4906	0.0304945	0.28921	0.0124077	0.0429022	0.12264	0.0463944	0.307857	0.0777852	0.08102	0.394598	0.0923454	18.2789
330	-2754.46	-2742.64	-11.8191	0.559881	36.4928	0.195604	0.214225	0.150798	0.143087	0.102458	0.140798	0.161857	0.0880219	0.149711	0.246525	0.126178	0.0646312	0.103833	0.126279	0.108036	0.0619183	0.134399	0.233321	0.181298	0.334205	0.330338	0.154159	0.137394	0.00543607	50.3543	0.0363487	0.660804	0.0708126	0.107161	0.14176	0.0702577	0.290106	0.0939595	0.0591509	0.406808	0.0797178	19.4683
340	-2754.54	-2741.02	-13.5169	0.394404	40.9675	0.0832468	0.0671856	0.0669709	0.0936792	0.130781	0.110517	0.0686466	0.101266	0.110455	0.28849	0.0550326	0.104292	0.166439	0.0415327	0.0755017	0.151669	0.13974	0.347222	0.175739	0.318221	0.319578	0.186463	0.112097	0.00565244	45.4327	0.0311364	0.541986	0.0368449	0.0679813	0.12237	0.0634292	0.396204	0.0487147	0.0843063	0.36727	0.0400765	19.9655
350	-2770.5	-2746	-24.499	0.669542	41.8134	0.243583	0.0775494	0.273848	0.184454	0.0648715	0.104653	0.270069	0.0879136	0.104333	0.267649	0.115421	0.279134	0.15241	0.113978	0.251008	0.0902598	0.131788	1.00626	0.171394	0.327455	0.319297	0.181853	0.210221	0.00525837	45.6533	0.075088	0.172036	0.0156019	0.0906899	0.212177	0.0557895	0.348111	0.0667389	0.115499	0.371682	0.0421789	18.0611
360	-2769.38	-2747.93	-21.4441	0.814364	35.0181	0.0251034	0.117759	0.215014	0.0630639	0.568649	0.0790337	0.158136	0.0624964	0.119317	0.155726	0.175118	0.060112	0.0754169	0.0727506	0.114688	0.100427	0.0984235	0.728049	0.181448	0.313499	0.324716	0.180337	0.152718	0.00522317	50.4291	0.0255529	0.446985	0.0206536	0.0462066	0.166071	0.0548144	0.338396	0.0445742	0.115671	0.363344	0.0832007	20.4024
370	-2754.92	-2738.37	-16.5456	0.787276	34.847	0.0472193	0.0771624	0.202848	0.0398516	0.0979584	0.0596784	0.0927444	0.0642435	0.150623	0.102037	0.0242248	0.0896519	0.033407	0.016957	0.0584746	0.0819889	0.164573	0.527211	0.184071	0.317087	0.33729	0.161552	0.0973905	0.00543645	55.7711	0.027554	0.519663	0.0298099	0.0573639	0.10727	0.0814318	0.367417	0.0521797	0.0858483	0.340579	0.0725439	20.2468
380	-2772.74	-2747.93	-24.8097	0.726131	34.097	0.131045	0.0303731	0.105204	0.0286168	0.0459276	0.0641325	0.113102	0.0828891	0.30387	0.150197	0.0740207	0.0568688	0.197783	0.0686408	0.121965	0.0612085	0.15384	1.06007	0.173069	0.340265	0.301878	0.184789	0.144501	0.00469197	47.9798	0.0634586	0.105606	0.00749293	0.0709515	0.158319	0.0630366	0.37126	0.0488538	0.075656	0.385037	0.0561564	20.713
390	-2756.26	-2743.59	-12.6729	0.496817	44.9337	0.089143	0.0633226	0.0878113	0.0541516	0.0443493	0.149682	0.132061	0.124354	0.118216	0.252461	0.0969362	0.113884	0.187081	0.089142	0.14854	0.0543039	0.13657	0.295856	0.191465	0.314918	0.329624	0.163993	0.11532	0.00559025	50.9266	0.0236624	0.488811	0.0226266	0.046289	0.124326	0.0636612	0.367857	0.0493344	0.0717301	0.388852	0.0585652	17.7919
400	-2759.87	-2747.8	-12.0665	0.618449	47.4786	0.068418	0.0513561	0.0955433	0.200168	0.137666	0.0622877	0.0522691	0.046486	0.114863	0.370725	0.111325	0.0561013	0.122076	0.0701802	0.0872922	0.0462459	0.200407	0.136915	0.178636	0.316647	0.336605	0.168112	0.129314	0.00536343	48.4914	0.0555096	0.368042	0.0323279	0.0878375	0.112796	0.0488636	0.358992	0.101915	0.055057	0.381001	0.0541723	27.1938
410	-2751.23	-2742.01	-9.21969	0.455636	39.6764	0.0836234	0.0710927	0.102211	0.115351	0.121959	0.120791	0.166533	0.12858	0.135838	0.404665	0.135903	0.186232	0.0720961	0.090753	0.113012	0.0694124	0.157761	0.0632511	0.176425	0.324122	0.332438	0.167016	0.133525	0.00553174	46.7521	0.0425655	0.326538	0.0206385	0.063204	0.129948	0.0617137	0.381499	0.0374066	0.0625523	0.381291	0.075537	21.4319
420	-2757.48	-2745.04	-12.4378	0.445345	47.0642	0.0823598	0.11231	0.0786551	0.0678593	0.151098	0.102521	0.107207	0.0753482	0.0798738	0.294932	0.173966	0.060539	0.0490074	0.200786	0.059838	0.126626	0.175331	0.0703902	0.166077	0.348084	0.302237	0.183602	0.131186	0.00530408	54.3372	0.0359648	0.327762	0.0175353	0.0535001	0.114925	0.0576327	0.414328	0.0392444	0.0659926	0.347632	0.0751702	21.8204
430	-2755.75	-2741.02	-14.7368	0.727328	44.6392	0.0452614	0.0467757	0.405842	0.0725753	0.0401614	0.131633	0.0799058	0.0775749	0.097255	0.348417	0.0323607	0.0954727	0.125937	0.0870807	0.0921305	0.0757981	0.0969492	0.163281	0.183871	0.326213	0.318683	0.171232	0.14249	0.00519224	50.0755	0.0222942	0.739957	0.0634386	0.0857328	0.117467	0.0628903	0.402412	0.0428245	0.0634766	0.369969	0.0584272	19.593
440	-2757.83	-2744.59	-13.2351	0.659979	39.1043	0.0971475	0.0824323	0.0993179	0.227687	0.109866	0.0598052	0.214651	0.110812	0.111143	0.328059	0.0471685	0.0729496	0.0816951	0.0379417	0.131611	0.0472382	0.13795	0.196672	0.170075	0.331666	0.333475	0.164784	0.139771	0.00549508	45.4802	0.0372157	0.393931	0.0241893	0.061405	0.121897	0.097533	0.384377	0.00841352	0.0642246	0.356894	0.0885584	19.2339
450	-2762.06	-2747.92	-14.141	0.429923	37.2893	0.158172	0.0439914	0.114005	0.0764664	0.0818562	0.0664002	0.142209	0.104524	0.134592	0.220364	0.122946	0.111436	0.188574	0.108966	0.204107	0.0667474	0.1007	0.189413	0.175657	0.338049	0.313631	0.172662	0.142113	0.00591334	53.8965	0.0119645	0.685801	0.0261149	0.0380793	0.124193	0.0560124	0.463084	0.00483182	0.0936175	0.329488	0.0529662	20.9168
460	-2747.99	-2744.17	-3.82262	0.285538	36.2882	0.0776654	0.130584	0.103189	0.122243	0.100026	0.138513	0.126946	0.0976607	0.0898204	0.251237	0.12731	0.102022	0.167724	0.128786	0.108316	0.0731261	0.117841	0.0945571	0.169882	0.334477	0.315977	0.179664	0.130863	0.00571343	54.0352	0.0497944	0.454911	0.0415566	0.091351	0.119865	0.0541581	0.414897	0.0355271	0.0905182	0.371168	0.0337314	19.9751
470	-2755.35	-2742.73	-12.6215	0.457368	34.6851	0.212394	0.129926	0.138875	0.141461	0.254006	0.144306	0.216523	0.167675	0.138499	0.307921	0.142497	0.229968	0.098688	0.171014	0.111705	0.0621824	0.134737	0.215247	0.189096	0.325321	0.318116	0.167467	0.173952	0.00517065	48.4003	0.0661305	0.253282	0.0224311	0.0885616	0.167646	0.0650557	0.370627	0.0482111	0.0663136	0.377275	0.0725181	18.5889
480	-2757.52	-2744.52	-13.0028	0.476188	46.2227	0.0368126	0.0689647	0.185036	0.1004	0.153571	0.127703	0.165734	0.0770288	0.0947644	0.472066	0.124923	0.0705916	0.0443417	0.0984938	0.0378005	0.0859288	0.106286	0.0989471	0.182824	0.317183	0.33858	0.161413	0.10877	0.00537314	47.8699	0.0318179	0.702494	0.075131	0.106949	0.119411	0.0719137	0.358775	0.0452827	0.0829034	0.389662	0.0514632	18.3706
490	-2755.43	-2740.95	-14.4806	0.706319	41.8069	0.108353	0.0802724	0.4085	0.0878752	0.151374	0.0874213	0.134542	0.109486	0.136109	0.304558	0.0438424	0.109483	0.110722	0.0684429	0.0717063	0.13866	0.12914	0.0904462	0.197004	0.324589	0.304474	0.173933	0.170129	0.00528603	46.4359	0.0553461	0.485564	0.0522399	0.107586	0.131719	0.0766471	0.367077	0.0536492	0.0883602	0.359416	0.0548506	18.0219
500	-2759.85	-2742.94	-16.9094	0.656785	45.6672	0.0867805	0.0833659	0.192103	0.0787839	0.123668	0.18236	0.140225	0.0672743	0.120554	0.319029	0.0362913	0.0577697	0.0841347	0.0571747	0.063876	0.146221	0.107983	0.109458	0.192299	0.316836	0.321088	0.169778	0.193293	0.00534053	51.9959	0.0203012	0.479553	0.0187061	0.0390073	0.114281	0.0652993	0.330113	0.0777284	0.0702058	0.409924	0.0467298	19.8681
510	-2761.48	-2739.58	-21.9016	0.784605	36.5331	0.0798117	0.275307	0.295041	0.103856	0.109917	0.325793	0.0920291	0.122961	0.144024	0.27062	0.0703808	0.122352	0.131379	0.072124	0.0430607	0.160405	0.152834	0.367687	0.187608	0.328975	0.314939	0.168478	0.160201	0.00579415	47.9724	0.0216558	0.412866	0.0152281	0.0368839	0.16331	0.0637189	0.352862	0.0673363	0.0742626	0.396185	0.0456356	18.3882
520	-2772.47	-2744.59	-27.8762	0.820342	35.0315	0.0802913	0.117263	0.140119	0.0680381	0.152187	0.102276	0.168564	0.0853929	0.173677	0.30043	0.0245251	0.665317	0.073089	0.0332538	0.410261	0.0463065	0.20831	0.391771	0.176594	0.322534	0.320125	0.180747	0.1221	0.00537244	50.0989	0.0215414	0.217956	0.00600359	0.027545	0.18006	0.0505202	0.421575	0.100039	0.0571794	0.324415	0.0462716	17.9691
530	-2758.18	-2746.7	-11.4833	0.518542	38.5664	0.066237	0.0934847	0.153694	0.190594	0.101576	0.0994131	0.200532	0.0846682	0.143238	0.282479	0.0677975	0.0697624	0.102229	0.118894	0.129848	0.0562881	0.160614	0.137414	0.188683	0.309336	0.342041	0.159941	0.156822	0.00560223	48.778	0.0457687	0.143519	0.00766939	0.0534381	0.125487	0.0607442	0.358529	0.0412889	0.0824516	0.417635	0.0393517	24.4295
540	-2757.46	-2743.49	-13.9669	0.486822	35.764	0.103019	0.0686455	0.134153	0.184145	0.153496	0.121271	0.187919	0.0907852	0.173916	0.219362	0.120975	0.149836	0.157568	0.184203	0.110312	0.155162	0.111861	0.235876	0.181203	0.315969	0.338944	0.163883	0.139582	0.00511391	57.0731	0.0325111	0.432762	0.0248036	0.0573147	0.147917	0.0796167	0.325496	0.0488414	0.0662607	0.410903	0.0688817	16.745
