Iteration	Posterior	Likelihood	Prior	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	clock_rate	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
680	-2793.69	-2753.29	-40.404	0.467358	0.0411852	0.0773223	0.0361372	54.7707	17.6513	34.052	0.00495377	0.168616	0.174595	0.345686	0.312374	0.167345	0.0572499	0.392277	0.114458	0.0772966	0.321722	0.0369959
690	-2794.13	-2754.1	-40.0328	0.77662	0.027042	0.121058	0.0940163	54.7074	15.887	34.0822	0.00496905	0.191367	0.17692	0.318158	0.336509	0.168414	0.0449397	0.394508	0.0858926	0.0580054	0.388891	0.0277627
700	-2797.13	-2749.07	-48.0676	0.346747	0.0624512	0.0956003	0.0331491	65.3175	18.5029	35.991	0.00552131	0.147486	0.180515	0.331786	0.323798	0.163901	0.0411766	0.385138	0.0787003	0.0531482	0.390984	0.0508529
710	-2792.43	-2750.86	-41.5757	0.299215	0.0490156	0.0699438	0.0209282	58.0684	16.9465	34.2438	0.00521775	0.171278	0.175502	0.336096	0.311202	0.1772	0.061494	0.421786	0.0282813	0.0632187	0.3317	0.0935204
720	-2792.59	-2748.57	-44.0207	0.636384	0.0540019	0.148514	0.0945117	59.3499	16.8997	34.3207	0.00501632	0.189241	0.180252	0.321728	0.319624	0.178397	0.0751174	0.339697	0.0665391	0.0772242	0.402958	0.0384644
730	-2796.2	-2752.05	-44.151	0.401165	0.0195332	0.0326187	0.0130855	58.7077	15.9647	34.9363	0.00584055	0.155214	0.183956	0.317053	0.326193	0.172798	0.0495585	0.4212	0.0629974	0.0762876	0.325477	0.0644797
740	-2795.67	-2751.35	-44.3149	0.338629	0.0437235	0.0661104	0.0223869	62.6649	17.0105	38.4264	0.00543327	0.162679	0.203293	0.337171	0.308007	0.15153	0.0445404	0.390124	0.0606845	0.0712432	0.375457	0.0579507
750	-2795.59	-2750.67	-44.9264	0.707899	0.0318025	0.108875	0.0770726	62.6971	17.4284	37.8492	0.00571386	0.152709	0.200926	0.316078	0.309245	0.173751	0.06216	0.291515	0.067035	0.0786986	0.414747	0.0858442
760	-2793	-2754.37	-38.6332	0.514596	0.034862	0.0718205	0.0369585	53.8393	16.594	34.4309	0.0055812	0.158895	0.190884	0.318731	0.325003	0.165382	0.0486608	0.390387	0.0664908	0.0998375	0.32877	0.0658535
770	-2796.82	-2754.23	-42.5901	0.484929	0.0663726	0.128861	0.0624884	55.5604	15.8436	34.5809	0.00493921	0.185917	0.192091	0.319755	0.310175	0.177979	0.0452964	0.363395	0.0618936	0.0929347	0.402195	0.0342851
