Iteration	Posterior	Likelihood	Prior	n_cats	base_rate	mean_rt	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	sf[1]	sf[2]	sf[3]	sf[4]	birth_rate	diversification	turnover	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	concentration	death_rate	root_time	tmrca_UrsidaePinn	tmrca_Ursidae
340	-2843.92	-2783.21	-60.7115	3	0.00519884	0.101276	0.282282	0.0248868	0.0248868	0.0248868	0.112918	0.282282	0.0248868	0.0248868	0.0248868	0.282282	0.0248868	0.0248868	0.0248868	0.0248868	0.0248868	0.0248868	0.282282	0.282282	0.190718	0.305282	0.343522	0.160478	0.0651332	0.042544	0.346815	0.0575748	0.284316	0.0303908	0.0772017	0.515266	0.0352509	0.753479	0.0225892	50.8565	34.5169	19.1957
350	-2833.87	-2770.24	-63.6345	4	0.00501938	0.0923918	0.168517	0.0237427	0.0237427	0.0237427	0.168517	0.271472	0.0237427	0.0237427	0.0237427	0.329644	0.0237427	0.0237427	0.0237427	0.0237427	0.0237427	0.0237427	0.271472	0.168517	0.182738	0.342062	0.295388	0.179812	0.0422413	0.0372745	0.117582	0.0431092	0.403355	0.063204	0.0665845	0.351887	0.0718609	0.753479	0.0049668	45.3238	37.0695	20.5015
360	-2837.88	-2772.02	-65.8595	3	0.00499991	0.14633	0.209167	0.0259429	0.0259429	0.0259429	0.384462	0.384462	0.0259429	0.384462	0.209167	0.209167	0.0259429	0.0259429	0.0259429	0.0259429	0.0259429	0.0259429	0.209167	0.384462	0.174684	0.321237	0.317778	0.186301	0.0595488	0.025566	0.570671	0.0460854	0.381869	0.0679565	0.0553353	0.390095	0.0586587	0.753479	0.0339827	55.2095	35.3682	17.422
370	-2827.89	-2769.08	-58.8058	3	0.00541128	0.0935645	0.217269	0.0281689	0.0281689	0.0281689	0.333079	0.217269	0.0281689	0.0281689	0.0281689	0.333079	0.0281689	0.0281689	0.0281689	0.0281689	0.0281689	0.0281689	0.217269	0.0281689	0.183318	0.335145	0.315253	0.166284	0.054228	0.0233928	0.568623	0.0749537	0.378436	0.0618885	0.0829726	0.348328	0.0534209	0.753479	0.0308353	47.525	34.5528	20.304
380	-2838.05	-2776.39	-61.6586	3	0.00554098	0.125375	0.223921	0.0280652	0.223921	0.0280652	0.223921	0.223921	0.0280652	0.0280652	0.0280652	0.316281	0.0280652	0.0280652	0.0280652	0.223921	0.0280652	0.0280652	0.223921	0.316281	0.17898	0.336709	0.31053	0.173782	0.0798341	0.0499783	0.373973	0.0533389	0.441395	0.0606757	0.0674074	0.308205	0.0689783	0.753479	0.0298558	48.425	37.8388	18.7929
390	-2839.2	-2777	-62.2025	2	0.00558596	0.13224	0.203265	0.203265	0.203265	0.0206293	0.203265	0.203265	0.0206293	0.203265	0.203265	0.203265	0.0206293	0.0206293	0.0206293	0.0206293	0.0206293	0.203265	0.203265	0.203265	0.174318	0.360772	0.305983	0.158927	0.0706006	0.0588016	0.167123	0.0609419	0.375568	0.0694127	0.06313	0.352136	0.0788105	0.753479	0.011799	56.3064	34.7058	17.3263
400	-2832.57	-2770.86	-61.7012	3	0.00513292	0.116172	0.192518	0.0203579	0.296424	0.0203579	0.296424	0.192518	0.0203579	0.0203579	0.0203579	0.296424	0.0203579	0.0203579	0.0203579	0.0203579	0.0203579	0.0203579	0.296424	0.296424	0.175276	0.325719	0.329409	0.169596	0.0638594	0.0451839	0.292447	0.0604561	0.372574	0.100419	0.0626267	0.349329	0.0545946	0.753479	0.0186755	47.4907	34.7723	21.3683
410	-2830.03	-2769.59	-60.445	3	0.00528402	0.104032	0.209107	0.0240135	0.209107	0.0240135	0.373992	0.209107	0.0240135	0.0240135	0.0240135	0.373992	0.0240135	0.0240135	0.0240135	0.0240135	0.0240135	0.0240135	0.209107	0.0240135	0.193292	0.321508	0.315139	0.170061	0.0745513	0.0489159	0.343862	0.0694392	0.387902	0.0421657	0.0719324	0.365854	0.0627067	0.753479	0.0256353	47.7886	36.8173	20.4074
420	-2838.85	-2776.21	-62.6455	4	0.00504151	0.125673	0.237438	0.0260714	0.0260714	0.0260714	0.237438	0.384635	0.0260714	0.0260714	0.0260714	0.237438	0.0260714	0.0260714	0.0260714	0.0260714	0.0260714	0.0260714	0.467668	0.384635	0.185668	0.320082	0.315467	0.178782	0.0402	0.0336278	0.163488	0.0686148	0.383432	0.0494652	0.0835146	0.337029	0.0779444	0.753479	0.00657221	50.6222	34.6802	26.4562
430	-2831.33	-2774.37	-56.9627	3	0.00524969	0.0909838	0.208631	0.0370515	0.0370515	0.0370515	0.208631	0.208631	0.0370515	0.0370515	0.0370515	0.321514	0.0370515	0.0370515	0.0370515	0.0370515	0.0370515	0.0370515	0.208631	0.0370515	0.181636	0.33675	0.307783	0.173831	0.0334159	0.0231062	0.308527	0.0315178	0.375189	0.0616201	0.09064	0.382083	0.0589506	0.753479	0.0103097	47.8486	35.7035	19.4261
440	-2839.56	-2779.29	-60.274	3	0.00548595	0.11275	0.156167	0.0375473	0.0375473	0.0375473	0.156167	0.156167	0.0375473	0.0375473	0.0375473	0.156167	0.0375473	0.156167	0.0375473	0.0375473	0.0375473	0.156167	0.156167	0.56086	0.167776	0.34523	0.3041	0.182894	0.0538102	0.0208623	0.612299	0.0379133	0.392259	0.145186	0.0738452	0.323879	0.026918	0.753479	0.0329479	48.3205	36.422	18.2558
450	-2844.6	-2779.39	-65.2176	3	0.00483155	0.170529	0.253384	0.0197651	0.0197651	0.0197651	0.675779	0.253384	0.0197651	0.253384	0.675779	0.253384	0.0197651	0.0197651	0.0197651	0.0197651	0.0197651	0.0197651	0.253384	0.253384	0.184081	0.307689	0.346434	0.161796	0.0368691	0.0209128	0.432781	0.0403189	0.383525	0.0474848	0.0685897	0.431456	0.0286259	0.753479	0.0159563	47.6665	34.4304	19.6248
460	-2838.07	-2776.12	-61.9453	4	0.00538198	0.0850843	0.110922	0.0225353	0.0225353	0.0225353	0.110922	0.530135	0.0225353	0.0225353	0.0225353	0.375658	0.0225353	0.0225353	0.0225353	0.0225353	0.0225353	0.0225353	0.110922	0.0225353	0.188756	0.350548	0.308587	0.152109	0.0410198	0.0174796	0.573875	0.041411	0.35443	0.0620891	0.0667096	0.419629	0.0557305	0.753479	0.0235403	50.5049	44.8495	22.8254
470	-2837.89	-2770.93	-66.9577	4	0.00491003	0.103437	0.195886	0.0289182	0.0289182	0.0289182	0.195886	0.187668	0.0289182	0.0289182	0.0289182	0.187668	0.0289182	0.0289182	0.0289182	0.0289182	0.0289182	0.0289182	0.187668	0.560066	0.172374	0.320196	0.337256	0.170174	0.0235181	0.00392306	0.83319	0.0717518	0.32148	0.0658349	0.0925193	0.409478	0.0389366	0.753479	0.0195951	47.4535	34.0152	20.8239
480	-2832.85	-2774.89	-57.9671	2	0.00542166	0.0892913	0.228935	0.0194695	0.0194695	0.0194695	0.228935	0.228935	0.0194695	0.0194695	0.0194695	0.228935	0.0194695	0.0194695	0.0194695	0.0194695	0.0194695	0.0194695	0.228935	0.228935	0.167009	0.331871	0.315665	0.185456	0.0622587	0.0478804	0.230944	0.0500545	0.414147	0.0508894	0.0883268	0.366485	0.0300974	0.753479	0.0143782	47.7861	35.4892	21.3826
490	-2834.14	-2773.13	-61.0103	4	0.0052356	0.0990027	0.157208	0.0204343	0.0204343	0.0204343	0.379443	0.379443	0.0204343	0.0204343	0.0204343	0.379443	0.0204343	0.0204343	0.0204343	0.0204343	0.0204343	0.0204343	0.220866	0.0204343	0.169492	0.342556	0.317172	0.17078	0.0743749	0.0647886	0.128892	0.0442159	0.440297	0.0449534	0.0780238	0.331363	0.0611464	0.753479	0.00958632	44.7504	37.3488	18.9256
500	-2836.76	-2772.9	-63.8556	3	0.00506364	0.118975	0.117045	0.0204507	0.3365	0.0204507	0.3365	0.3365	0.0204507	0.0204507	0.0204507	0.3365	0.0204507	0.0204507	0.0204507	0.0204507	0.0204507	0.0204507	0.3365	0.117045	0.170732	0.337744	0.319494	0.17203	0.0774703	0.0593804	0.233508	0.0322243	0.343294	0.0574879	0.0606816	0.431556	0.0747568	0.753479	0.0180899	49.7222	34.4187	18.1461
510	-2837.85	-2773.18	-64.6705	3	0.0055482	0.109423	0.172615	0.0180303	0.0180303	0.0180303	0.172615	0.274715	0.0180303	0.0180303	0.0180303	0.274715	0.172615	0.0180303	0.0180303	0.274715	0.0180303	0.0180303	0.172615	0.274715	0.181084	0.345609	0.307653	0.165654	0.0397755	0.0264999	0.333762	0.0973267	0.42593	0.039322	0.0550559	0.314539	0.0678261	0.753479	0.0132755	49.5308	37.9476	17.1693
