Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	TL
610	-5196.76	-5213.86	17.1054	0.0059973	0.00175615	0.00276987	0.00485698	0.00423427	0.000504064	0.00168958	0.000187821	0.124499	2.52321e-05	0.00185384	4.3343e-05	0.000462423	0.000492406	0.0017823	1.99501e-05	0.000368417	0.00130957	0.00329352	0.000899478	0.00123935	0.00178227	0.00318087	0.163248
620	-5190.8	-5208.11	17.3101	0.00889098	0.00233389	0.00141923	0.00242065	0.00331752	0.00074098	0.00272949	7.63691e-05	0.107976	5.59034e-05	0.00165591	3.72715e-05	0.000767033	0.000690584	0.00279022	2.29619e-05	0.000720602	0.000853153	0.000786138	0.000943094	0.000216961	0.00177534	0.00155592	0.142776
630	-5187.98	-5205.27	17.2919	0.00596515	0.00274592	0.00233985	0.00157904	0.00336601	0.000177053	0.00177511	0.000246807	0.11078	0.000174549	0.00205181	3.11571e-05	0.000752969	0.000668479	0.00200403	6.16678e-05	0.000500935	0.000770895	0.00100199	0.000791833	0.00107767	0.0028805	0.00285109	0.144595
640	-5192.7	-5209.96	17.2604	0.00496546	0.000559788	0.00217014	0.00239378	0.00367468	6.07015e-05	0.00152155	0.000200519	0.110564	0.000351759	0.00401105	0.000194285	0.00113401	0.000860432	0.00338758	3.15985e-05	0.000612421	0.000828261	0.00320465	0.000432975	0.000511764	0.00254342	0.00352876	0.147744
650	-5189.47	-5206.72	17.254	0.00534267	0.000534254	0.00146547	0.000847991	0.00253962	5.39267e-05	0.00243229	0.000601014	0.115325	0.00032934	0.00325592	9.76806e-05	0.000756222	0.000952471	0.00207301	1.33819e-05	0.000987866	0.000903485	0.00258301	0.000310937	0.0012444	0.00236593	0.00336452	0.148381
660	-5193.68	-5210.9	17.2244	0.00517698	0.00028652	0.000990892	0.00245031	0.00462558	5.39099e-05	0.00305311	0.000666796	0.115325	0.000169139	0.00182645	2.9342e-05	0.00066527	0.000518031	0.00303877	2.03348e-05	0.00171084	0.00254861	0.00171143	0.000763303	0.00197463	0.000882671	0.00285268	0.151341
670	-5189.72	-5206.86	17.1391	0.00749307	0.00116743	0.000886769	0.00146852	0.00281204	6.68164e-05	0.00192057	0.000367438	0.125464	0.000292449	0.00374267	0.000406012	0.000722413	0.000353707	0.00284085	7.46947e-05	0.000769477	0.00197063	0.00139233	0.000352041	0.00121329	0.00169138	0.00241014	0.159878
680	-5190.73	-5207.99	17.2653	0.00615255	0.00108434	0.000575812	0.00191183	0.00259909	4.86277e-05	0.00482966	6.09883e-05	0.11454	0.00032807	0.00403755	0.000114593	0.000960111	6.74592e-05	0.00221197	4.14605e-05	0.000329915	0.000882205	0.000946848	0.000396795	0.000883113	0.0011982	0.00305707	0.147258
690	-5193.88	-5211.13	17.2486	0.0035588	0.000890079	0.00117071	0.00299797	0.00190103	6.74614e-05	0.00409862	6.38463e-05	0.117911	0.000612125	0.00221361	0.000141875	0.000503442	5.29445e-05	0.00228946	0.000202037	0.000665295	0.000672752	0.000919122	0.000919344	0.00154327	0.00257812	0.00295151	0.148925
700	-5193.21	-5210.41	17.1962	0.00795467	0.00187945	0.000579016	0.00183636	0.00306509	9.83556e-05	0.00174194	0.000155628	0.119148	0.000175705	0.00176678	9.7431e-05	0.000910514	8.25261e-05	0.00348004	0.000366245	0.00119858	0.000543561	0.000872138	0.00200365	0.00115689	0.00246715	0.00258508	0.154164
710	-5194.09	-5211.27	17.1777	0.00600234	0.00282494	0.00046366	0.000658968	0.00453225	0.000120862	0.00182653	0.000435256	0.119148	8.02933e-05	0.00223739	0.000196683	0.000780151	0.000456492	0.00495958	0.000224072	0.001557	0.00095929	0.00141302	0.000711199	0.00230874	0.00275373	0.00136341	0.156013
720	-5192.7	-5209.87	17.1744	0.00395913	0.002028	0.00056858	0.0012201	0.00320386	0.000477063	0.00354818	0.00018548	0.119148	0.000328287	0.00333921	7.48135e-05	0.00142022	0.00133203	0.00309315	0.000327978	0.00159643	0.00109815	0.0017531	0.00149711	0.00139808	0.00142299	0.00332295	0.156342
730	-5192.53	-5209.89	17.3577	0.0043136	0.00242863	0.00156225	0.00191549	0.00446482	9.66911e-05	0.0027355	0.000237315	0.10289	0.000171182	0.00189765	0.000241073	0.00113844	0.00103497	0.00179858	0.000385629	0.00113351	0.000573112	0.000966891	0.00183531	0.00224138	0.00100096	0.00294928	0.138012
740	-5194.99	-5212.29	17.2933	0.00412013	0.00260298	0.000872275	0.000714899	0.0036538	0.000240011	0.00211324	0.000636761	0.107179	0.00014176	0.00194451	0.000102955	0.00101175	0.00210678	0.0025221	0.000342158	0.000575949	0.000703257	0.00330943	0.000850939	0.0018129	0.00327855	0.0036209	0.144457
750	-5191.07	-5208.26	17.1878	0.00453293	0.00108604	0.000827398	0.00194525	0.00202001	0.000529654	0.00456701	0.000365686	0.120093	9.87077e-05	0.00188914	7.23654e-05	0.00167306	0.00129171	0.00333964	0.000251302	0.00118099	0.000769234	0.00107322	0.00130231	0.0013755	0.00218856	0.00252854	0.155001
760	-5198.4	-5215.51	17.1113	0.00522465	0.00146576	0.00144044	0.00116808	0.00484533	0.000559946	0.00374822	0.000301429	0.120093	8.68039e-05	0.0020218	9.22465e-05	0.000345965	0.000799873	0.00375593	0.000274179	0.00192208	0.00192071	0.00146525	0.000914337	0.00207705	0.00424913	0.00387792	0.16265
770	-5195.11	-5212.31	17.2006	0.00430876	0.00124404	0.000995357	0.00230111	0.00177314	0.00114734	0.00194773	0.00032724	0.118376	0.000205308	0.00215247	0.000228199	0.000514997	0.00147821	0.00183903	0.000386666	0.00145451	0.00161019	0.00364093	0.00135587	0.0014753	0.00205328	0.00291106	0.153727
780	-5191.02	-5208.38	17.3622	0.00635128	0.00141103	0.00131188	0.00111225	0.00156631	0.000782194	0.00182501	0.000122896	0.103388	0.000309616	0.00238578	0.00014132	0.00126398	0.00117934	0.00300738	0.000193711	0.000694811	0.0014178	0.00350272	0.00100919	0.00104607	0.00173277	0.00180998	0.137565
790	-5190.93	-5208.3	17.3647	0.00649634	0.00317577	0.00129504	0.00154184	0.00243659	0.000254737	0.00174913	5.90803e-05	0.103855	0.000200409	0.00150084	5.59456e-05	0.00108736	0.00116811	0.00251985	0.000486188	0.000716933	0.001901	0.000638277	0.000213674	0.00208058	0.00233953	0.00154458	0.137317
800	-5190.07	-5207.33	17.2579	0.00512884	0.00258515	0.0013564	0.00210731	0.00399497	0.000158208	0.00254521	0.000110164	0.115655	0.000290714	0.0026062	8.80727e-05	0.000643585	0.000840671	0.0021503	0.000410656	0.000685552	0.000463648	0.000293715	0.000763665	0.00135056	0.00234362	0.00141847	0.14799
