Iteration	Posterior	Likelihood	Prior	dp	glr[1]	glr[2]	csf[1]	csf[2]	csf[3]
1420	-42.2903	-46.8962	4.60594	0.0472227	0.150166	0.102107	0.101472	0.602376	0.296152
1430	-50.0082	-55.2933	5.28511	0.0260973	0.121018	0.0844641	0.636903	0.0994677	0.26363
1440	-50.3699	-55.5706	5.20069	0.104019	0.0963155	0.0396867	0.216334	0.550434	0.233231
1450	-48.2454	-53.0797	4.83429	0.0656284	0.185643	0.02539	0.24611	0.574313	0.179577
1460	-47.4729	-51.4044	3.93153	0.0486016	0.178963	0.139372	0.489138	0.316015	0.194847
1470	-41.5978	-47.6343	6.03653	0.00923939	0.0884621	0.0587359	0.502996	0.422755	0.0742482
1480	-40.6676	-46.0071	5.33957	0.013189	0.1354	0.0775449	0.539095	0.245142	0.215763
1490	-50.0812	-54.9647	4.88355	0.0327884	0.127118	0.111829	0.311052	0.269966	0.418982
1500	-47.1518	-51.1971	4.04529	0.165774	0.0969597	0.0928274	0.333175	0.484482	0.182343
1510	-46.8383	-50.771	3.93277	0.160068	0.107065	0.0996803	0.0555401	0.21497	0.72949
1520	-46.9316	-51.8013	4.86973	0.119881	0.0816537	0.0715834	0.416607	0.30408	0.279312
1530	-44.7008	-48.9757	4.2749	0.0686761	0.164091	0.0998332	0.485434	0.1244	0.390166
1540	-50.7317	-55.0214	4.28964	0.0649415	0.16851	0.0976752	0.369238	0.0853144	0.545448
1550	-75.7012	-77.8855	2.18431	0.15865	0.2605	0.12251	0.220359	0.709949	0.0696916
1560	-69.8429	-73.1551	3.31221	0.139694	0.18147	0.107706	0.491326	0.450841	0.0578331
1570	-57.5408	-60.7125	3.17177	0.145436	0.125189	0.172289	0.448139	0.156665	0.395196
1580	-51.8899	-54.5811	2.69117	0.193761	0.204722	0.0924899	0.325739	0.25284	0.42142
1590	-49.6273	-54.2927	4.66545	0.0695806	0.1196	0.104364	0.227283	0.481751	0.290966
1600	-65.2754	-69.3657	4.09032	0.0962699	0.127184	0.127604	0.740429	0.167863	0.0917078
1610	-66.6205	-68.9884	2.36785	0.11566	0.221498	0.186147	0.402483	0.504614	0.0929035
1620	-62.3183	-66.0478	3.72951	0.0990198	0.15766	0.130459	0.314573	0.3061	0.379327
1630	-55.3159	-58.1145	2.79866	0.134463	0.163917	0.181845	0.446134	0.078257	0.475609
1640	-65.0733	-68.7798	3.70653	0.144934	0.15464	0.089863	0.688798	0.263114	0.0480882
1650	-62.6491	-64.6795	2.03039	0.209577	0.21824	0.129233	0.347139	0.380723	0.272138
1660	-56.6702	-58.2635	1.59336	0.270571	0.253265	0.0769187	0.069561	0.490441	0.439998
1670	-52.4954	-55.7526	3.25726	0.197299	0.120302	0.116763	0.0675799	0.641223	0.291197
1680	-43.0363	-47.9663	4.92995	0.112927	0.0921818	0.061987	0.169294	0.504706	0.326
1690	-70.9799	-74.7453	3.76537	0.0370627	0.241108	0.105383	0.668325	0.266591	0.0650843
1700	-61.3173	-64.7464	3.42907	0.0630735	0.252754	0.101355	0.77534	0.00714646	0.217513
1710	-51.307	-55.5965	4.28949	0.0987647	0.153318	0.0790583	0.243284	0.631948	0.124768
1720	-58.7981	-63.4559	4.65777	0.0270106	0.178521	0.0887818	0.350677	0.463526	0.185797
1730	-56.5548	-61.3929	4.83806	0.0104103	0.145756	0.120117	0.588194	0.0768523	0.334953
1740	-54.3491	-58.8203	4.47123	0.016105	0.192452	0.10441	0.487273	0.206734	0.305993
1750	-42.2018	-47.4648	5.26299	0.038109	0.120814	0.0748684	0.487378	0.00932921	0.503293
