Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	alpha	pinvar	TL
1110	-5106.73	-5107.48	0.746761	0.132328	0.254619	0.0186472	0.249738	0.212038	0.132629	0.313013	0.19765	0.192933	0.296404	0.250535	0.000866453	2.06603
1120	-5101.73	-5100.91	-0.820675	0.112014	0.215532	0.0157846	0.2114	0.333001	0.112269	0.313013	0.19765	0.192933	0.296404	0.235892	8.2952e-05	2.22278
1130	-5112.27	-5106.37	-5.90245	0.145743	0.280431	0.0205375	0.144425	0.271691	0.137172	0.321637	0.203226	0.20302	0.272117	0.207176	0.0147363	2.73095
1140	-5109.97	-5106.2	-3.76719	0.145743	0.280431	0.0205375	0.144425	0.271691	0.137172	0.323471	0.204385	0.198475	0.273669	0.219411	0.00247691	2.51743
1150	-5097.48	-5096.08	-1.40295	0.164778	0.211156	0.0232198	0.173931	0.307175	0.119741	0.318154	0.201025	0.195213	0.285608	0.222309	0.00385205	2.281
1160	-5102.72	-5100.63	-2.08882	0.164778	0.211156	0.0232198	0.173931	0.307175	0.119741	0.318154	0.201025	0.195213	0.285608	0.228965	0.00476668	2.34959
1170	-5096.64	-5100.17	3.52953	0.163674	0.245238	0.0230643	0.170692	0.278393	0.118939	0.314822	0.195307	0.196452	0.293419	0.263056	0.00245736	1.78775
1180	-5102.17	-5103.99	1.81685	0.172752	0.185541	0.0243435	0.180159	0.293833	0.143371	0.320829	0.199015	0.189099	0.291057	0.273456	0.0119674	1.95902
1190	-5104.75	-5108.47	3.72208	0.183393	0.177982	0.025843	0.191256	0.269324	0.152202	0.31579	0.200491	0.190502	0.293217	0.256026	0.0015727	1.7685
1200	-5101.25	-5103.34	2.08913	0.126182	0.287178	0.0301871	0.186183	0.265604	0.104666	0.307404	0.202949	0.192837	0.296811	0.262104	0.00371494	1.93179
1210	-5103.27	-5105.05	1.78205	0.212716	0.166024	0.0326944	0.201647	0.236721	0.150197	0.313502	0.206975	0.196662	0.282861	0.276456	0.00131747	1.9625
1220	-5099.21	-5102.77	3.55674	0.163987	0.246549	0.0364469	0.121691	0.26389	0.167436	0.319519	0.200599	0.190604	0.289277	0.279829	7.89338e-05	1.78503
1230	-5105.49	-5108.81	3.32583	0.164631	0.204163	0.03659	0.122169	0.336286	0.136162	0.317687	0.199449	0.194535	0.288329	0.285113	0.00955862	1.80812
1240	-5108.66	-5111.53	2.87251	0.177261	0.204327	0.0366195	0.108963	0.336557	0.136272	0.299684	0.205671	0.200604	0.294041	0.280192	0.0198689	1.85346
1250	-5098.72	-5105.13	6.41092	0.155416	0.179147	0.0321066	0.21698	0.296873	0.119478	0.301281	0.201438	0.201673	0.295608	0.341442	0.00981687	1.49962
1260	-5096.94	-5104.94	8.00788	0.160224	0.184688	0.0330998	0.223692	0.282791	0.115505	0.320971	0.191034	0.207656	0.28034	0.378316	0.00663629	1.33992
1270	-5097.45	-5103.74	6.29113	0.15199	0.175197	0.0313987	0.254188	0.268258	0.118969	0.289611	0.21527	0.190927	0.304192	0.337171	0.00640577	1.51159
1280	-5096.83	-5104.32	7.48571	0.148882	0.171615	0.0163573	0.248992	0.297616	0.116537	0.308343	0.213224	0.197918	0.280515	0.338275	0.00809007	1.39214
1290	-5092.92	-5097.05	4.13453	0.163878	0.1889	0.0180048	0.173351	0.327592	0.128275	0.302486	0.209173	0.210759	0.277582	0.32855	0.00466697	1.72725
1300	-5094.51	-5096.52	2.00297	0.173209	0.186792	0.0178039	0.171416	0.323936	0.126843	0.30911	0.213754	0.193475	0.283661	0.284285	0.00293731	1.94041
1310	-5102.88	-5101.7	-1.18343	0.187826	0.192344	0.0193063	0.185881	0.277095	0.137547	0.302982	0.209516	0.209465	0.278037	0.233699	0.00293731	2.25905
1320	-5101.31	-5098.14	-3.16775	0.180501	0.243233	0.0185534	0.178632	0.266289	0.112792	0.320315	0.194173	0.197828	0.287684	0.226304	0.0110922	2.45748
1330	-5111.98	-5111.94	-0.0331333	0.180501	0.243233	0.0185534	0.178632	0.266289	0.112792	0.313635	0.196082	0.199772	0.290512	0.223141	0.0161616	2.14402
1340	-5107.82	-5106.72	-1.10576	0.165108	0.22249	0.0169712	0.163399	0.24358	0.188453	0.313278	0.195689	0.195524	0.295509	0.224006	0.0161616	2.25128
1350	-5101.76	-5101.41	-0.348024	0.170009	0.229094	0.0154364	0.180592	0.281802	0.123066	0.313278	0.195689	0.195524	0.295509	0.226805	0.000226936	2.17551
1360	-5107.59	-5105.13	-2.45249	0.17004	0.19339	0.0112107	0.180625	0.284028	0.160707	0.298894	0.203487	0.207917	0.289702	0.207572	0.00538338	2.38596
1370	-5104.85	-5103.73	-1.12443	0.187251	0.212965	0.0123455	0.172761	0.312777	0.1019	0.312987	0.199922	0.202	0.285092	0.221571	9.3739e-05	2.25315
1380	-5107.71	-5106.48	-1.23	0.180382	0.205152	0.0118926	0.166424	0.337988	0.0981618	0.309526	0.193597	0.210376	0.286501	0.255881	0.0149988	2.26371
1390	-5100.23	-5101.64	1.40981	0.168871	0.192061	0.0111337	0.151026	0.31642	0.160488	0.309526	0.193597	0.210376	0.286501	0.273111	0.00545526	1.99973
1400	-5102.64	-5103.11	0.465737	0.21855	0.246562	0.00931868	0.126406	0.264838	0.134325	0.310271	0.194063	0.199549	0.296116	0.243693	0.00200345	2.09413
1410	-5101.44	-5106.25	4.81327	0.177767	0.189951	0.00717907	0.228361	0.293259	0.103484	0.306538	0.191729	0.209179	0.292554	0.283023	0.00106213	1.65938
1420	-5099.96	-5101.06	1.09654	0.167305	0.189564	0.0260443	0.227896	0.285917	0.103273	0.311494	0.194829	0.196393	0.297284	0.274633	0.00479319	2.03105
1430	-5100.49	-5105.41	4.91905	0.177489	0.264911	0.0185128	0.151925	0.277602	0.10956	0.310148	0.191403	0.192774	0.305674	0.283495	0.00606466	1.6488
1440	-5102.51	-5107.56	5.05044	0.18579	0.200728	0.0193786	0.15903	0.291747	0.143327	0.320122	0.196982	0.192081	0.290815	0.271341	0.0108079	1.63566
1450	-5099	-5100.61	1.60872	0.148577	0.221258	0.0213606	0.175295	0.275524	0.157987	0.314013	0.202701	0.198021	0.285265	0.255746	0.00155282	1.97984
1460	-5113.99	-5114.89	0.896137	0.154299	0.179838	0.0221833	0.193474	0.286135	0.164071	0.315352	0.203215	0.189532	0.291901	0.263574	0.00236186	2.05109
1470	-5101.33	-5103.33	1.99951	0.10211	0.239969	0.0104047	0.180439	0.358501	0.108577	0.30967	0.204879	0.189034	0.296417	0.275323	0.00653541	1.94076
1480	-5103.11	-5108.44	5.33279	0.104699	0.246055	0.0106686	0.224639	0.302608	0.11133	0.325173	0.2145	0.197552	0.262775	0.295523	0.000141359	1.60743
1490	-5108.01	-5111.67	3.65915	0.104699	0.246055	0.0106686	0.224639	0.302608	0.11133	0.323336	0.213288	0.199211	0.264166	0.311082	0.00453048	1.77479
1500	-5116.62	-5121.71	5.08418	0.114414	0.268885	0.0116584	0.0998815	0.330079	0.175083	0.327971	0.218653	0.185422	0.267953	0.325273	0.0023226	1.63229
1510	-5101.01	-5102.31	1.29825	0.162836	0.25631	0.0155682	0.0952102	0.314642	0.155434	0.315974	0.210655	0.17864	0.294731	0.255428	0.00579354	2.01088
1520	-5106.36	-5108.21	1.85072	0.168842	0.265763	0.0161424	0.0987217	0.326246	0.124285	0.29675	0.201267	0.189438	0.312546	0.251831	0.00580071	1.95564
1530	-5104.31	-5105.24	0.929113	0.160001	0.251846	0.0152972	0.106661	0.332651	0.133543	0.300042	0.2035	0.19154	0.304918	0.240569	0.00122469	2.0478
1540	-5099.1	-5098.43	-0.67385	0.137959	0.217152	0.0131898	0.188432	0.286825	0.156442	0.312197	0.206522	0.205281	0.276001	0.236798	0.0152792	2.20809
1550	-5097.99	-5096.87	-1.123	0.130632	0.24115	0.0124893	0.195303	0.272292	0.148133	0.311357	0.208655	0.204729	0.275259	0.229957	0.00375072	2.25301
1560	-5103.29	-5101.04	-2.24425	0.129934	0.239827	0.0124226	0.198336	0.270838	0.148642	0.311357	0.208655	0.204729	0.275259	0.205963	0.000495627	2.36513
